India/State/ UT,Percentage of Schools with CWSN friendly toilet,Percentage of Schools with functional CWSN friendly toilet,,,,,,,,
"","Allmanagement",Government.,"Government.aided",Pvt. unaided,Others,"Allmanagement",Government.,"Government.aided",Pvt. unaided,Others
(1),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26)
India,32.5,31.1,41,36.6,17.5,30.4,28.7,39.8,35.1,16.4
Andaman & Nicobar Islands,27.1,27.8,0,24.3,0,26.3,26.9,0,24.3,0
Andhra Pradesh,22,16.7,17.9,38.1,28.8,21.4,16,17.6,37.8,27.7
Arunachal Pradesh,10.3,9.2,12.7,16.3,10.6,6.2,4.3,11.3,16.1,10.6
Assam,19.6,22.7,6.5,16.6,3.7,18.8,21.9,5.8,15.7,3.3
Bihar,15.5,14.2,14.5,24.9,18.1,15,13.8,14.2,24.1,17.5
Chandigarh,76.5,86.6,57.1,81.8,22.2,76.5,86.6,57.1,81.8,22.2
Chhattisgarh,66.4,68.2,50.6,55.6,46.7,58.8,59.7,49.2,54,44.8
"Dadra & Nagar Haveli andDaman & Diu",91.9,95.1,50,77.8,100,91.5,94.6,50,77.8,100
Delhi,99.5,99.9,97.6,99.3,0,99.5,99.9,97.6,99.3,0
Goa,7.6,4.1,11.8,11.4,0,7.4,3.8,11.5,11.4,0
Gujarat,36.2,46,19.7,17.5,0,35.8,45.6,19.5,17.4,0
Haryana,47.7,65.4,33.3,20.2,13.9,46.2,63.4,33.3,19.4,13.6
Himachal Pradesh,23.8,22.2,0,33.4,50,22.9,21.2,0,32.6,50
Jammu & Kashmir,7.3,4.5,0,17.1,12.9,6.5,3.8,0,15.8,10.6
Jharkhand,6,4.7,6.7,20.7,9.6,5.4,4.2,6.4,19.8,8.6
Karnataka,18.2,14.5,16.6,28.3,0,16.8,12.8,15.4,27.2,0
Kerala,29.5,51.7,20.9,19,14.4,27.6,47.1,20,18.5,13.3
Ladakh,19.2,21.2,0,9,0,18.7,20.6,0,9,0
Lakshadweep,56.8,56.8,0,0,0,56.8,56.8,0,0,0
Madhya Pradesh,22.2,15.1,40.5,45.6,16.4,20.6,13.8,38.7,43,15.3
Maharashtra,59.7,58.4,59.4,64.5,62.2,55.7,53,57.3,62.9,61.3
Manipur,7,3.3,2.4,20.8,7.1,6.5,2.6,2.2,20.2,7.1
Meghalaya,2.8,2.4,2.7,4.2,2.3,2.5,2.1,2.5,3.9,2.3
Mizoram,18.4,25.7,5.7,3.6,8.5,14.1,19.3,5.2,3.5,5.6
Nagaland,6.3,5.9,0,7.2,0,5.2,4.8,0,6.4,0
Odisha,65.5,68.7,49.3,58.3,51.1,62.8,65.7,47.6,57.2,49.2
Puducherry,40.1,46.4,21.2,32.5,0,37.6,42.7,21.2,31.8,0
Punjab,55.3,57.7,46.3,50.1,50,54,56.2,45.6,49.2,42.9
Rajasthan,22.1,13.8,0,39.2,14.5,20,12.5,0,35.9,11.5
Sikkim,24.5,30.6,11.1,10.9,0,23.3,28.8,11.1,10.9,0
Tamil Nadu,52.2,26.1,100,100,100,47.3,18.6,100,100,100
Telangana,5.6,5,2.1,7.4,1,4.9,4,2.1,7.3,1
Tripura,9.7,9.6,23.3,15.8,1.6,8.5,8.2,18.6,15.3,1.6
Uttar Pradesh,38.4,46.7,28.2,30,18.9,35.4,42.5,26.4,28.3,17.3
Uttarakhand,10.7,7.7,14.4,19.6,12.6,9.5,6.7,13.1,17.6,10.5
West Bengal,30.3,29.9,25.3,34.5,28.9,30.3,29.9,25.3,34.5,28.9
