India/State/ UT,Total Schools,Schools with CWSN friendly toilet,Schools with functional CWSN friendly toilet,,,,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,
(1),(2),(3),(4),(5),(6),,(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),
India,1466109,1016010,81486,323430,45183,,475765,316103,33408,118332,7922,445540,292074,32418,113619,7429,
Andaman & Nicobar Islands,414,342,2,70,0,,112,95,0,17,0,109,92,0,17,0,
Andhra Pradesh,61680,45167,1202,15127,184,,13585,7550,215,5767,53,13229,7247,212,5719,51,
Arunachal Pradesh,3543,2922,71,503,47,,365,269,9,82,5,219,125,8,81,5,
Assam,58876,44925,3386,5677,4888,,11534,10193,219,942,180,11072,9826,196,891,159,
Bihar,91447,75550,724,8053,7120,,14141,10741,105,2008,1287,13711,10419,103,1943,1246,
Chandigarh,230,119,7,77,27,,176,103,4,63,6,176,103,4,63,6,
Chhattisgarh,56333,48728,415,6931,259,,37409,33225,210,3853,121,33140,29079,204,3741,116,
"Dadra & Nagar Haveli andDaman & Diu",459,387,8,63,1,,422,368,4,49,1,420,366,4,49,1,
Delhi,5488,2673,245,2570,0,,5459,2669,239,2551,0,5459,2669,239,2551,0,
Goa,1504,806,558,140,0,,115,33,66,16,0,111,31,64,16,0,
Gujarat,53603,34651,5562,13387,3,,19378,15936,1095,2347,0,19213,15801,1084,2328,0,
Haryana,23561,14443,6,8315,797,,11228,9439,2,1676,111,10887,9161,2,1616,108,
Himachal Pradesh,18062,15447,0,2613,2,,4298,3423,0,874,1,4134,3282,0,851,1,
Jammu & Kashmir,24278,18785,1,5407,85,,1770,836,0,923,11,1578,716,0,853,9,
Jharkhand,44596,35764,1149,1583,6100,,2661,1671,77,327,586,2419,1506,73,313,527,
Karnataka,76090,49520,7029,19531,10,,13877,7176,1166,5535,0,12748,6361,1082,5305,0,
Kerala,15934,4811,7178,3095,850,,4698,2486,1501,589,122,4390,2266,1437,574,113,
Ladakh,979,841,27,111,0,,188,178,0,10,0,183,173,0,10,0,
Lakshadweep,37,37,0,0,0,,21,21,0,0,0,21,21,0,0,0,
Madhya Pradesh,122937,92741,615,28047,1534,,27339,14036,249,12802,252,25326,12785,238,12069,234,
Maharashtra,108451,65431,23964,18723,333,,64758,38241,14236,12074,207,60355,34646,13732,11773,204,
Manipur,4627,2922,583,996,126,,325,95,14,207,9,299,76,13,201,9,
Meghalaya,14588,7778,4173,2121,516,,402,187,114,89,12,361,160,106,83,12,
Mizoram,3891,2567,230,1023,71,,715,659,13,37,6,548,496,12,36,4,
Nagaland,2717,1954,0,762,1,,170,115,0,55,0,142,93,0,49,0,
Odisha,61891,48767,5920,6062,1142,,40543,33503,2920,3536,584,38885,32037,2816,3470,562,
Puducherry,729,422,33,274,0,,292,196,7,89,0,274,180,7,87,0,
Punjab,27592,19245,447,7886,14,,15258,11096,207,3948,7,14898,10811,204,3877,6,
Rajasthan,106670,69538,0,34497,2635,,23533,9612,0,13538,383,21345,8669,0,12372,304,
Sikkim,1250,864,18,368,0,,306,264,2,40,0,291,249,2,40,0,
Tamil Nadu,58150,37658,8279,11969,244,,30338,9847,8279,11968,244,27491,7000,8279,11968,244,
Telangana,42476,29997,670,11707,102,,2377,1494,14,868,1,2063,1196,14,852,1,
Tripura,4912,4245,43,367,257,,478,406,10,58,4,416,348,8,56,4,
Uttar Pradesh,251094,137003,8249,92348,13494,,96492,63944,2323,27671,2554,88905,58251,2175,26141,2338,
Uttarakhand,22618,16381,613,5140,484,,2420,1266,88,1005,61,2140,1103,80,906,51,
West Bengal,94402,82579,79,7887,3857,,28582,24730,20,2718,1114,28582,24730,20,2718,1114,
