India/State /UT,Number of teachers by Gender and Classes Taught – Private Unaided Recognized,,,,,,,,,,,
"",Total,Pre-Primary Only,Pre-Primary & Primary,Primary Only,,,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,1228122,2295445,3523567,2691,70604,73295,22358,91063,113421,250129,827599,1077728
Andaman & Nicobar Islands,211,973,1184,3,60,63,8,84,92,52,337,389
Andhra Pradesh,48006,76906,124912,224,2134,2358,2500,11180,13680,4366,24377,28743
Arunachal Pradesh,2212,3683,5895,6,123,129,54,252,306,630,1644,2274
Assam,37780,49222,87002,112,765,877,630,1849,2479,7936,15876,23812
Bihar,61221,45479,106700,123,694,817,578,1400,1978,8329,13402,21731
Chandigarh,343,3732,4075,1,315,316,6,95,101,35,1057,1092
Chhattisgarh,23254,58232,81486,73,2514,2587,660,3845,4505,4617,21564,26181
"Dadra & Nagar Haveli andDaman & Diu",244,1237,1481,0,120,120,1,45,46,55,467,522
Delhi,7813,57869,65682,42,5763,5805,0,0,0,2068,25683,27751
Goa,165,1901,2066,0,239,239,7,63,70,27,950,977
Gujarat,41913,104006,145919,69,2235,2304,407,3196,3603,6981,43131,50112
Haryana,34185,108047,142232,15,2322,2337,57,1183,1240,5521,40418,45939
Himachal Pradesh,7792,26006,33798,16,1015,1031,63,974,1037,981,6634,7615
Jammu & Kashmir,24179,43849,68028,248,2957,3205,1190,3683,4873,6101,16513,22614
Jharkhand,15948,19667,35615,5,442,447,38,521,559,1437,5637,7074
Karnataka,51194,149546,200740,47,4206,4253,203,3207,3410,6761,50526,57287
Kerala,6810,64181,70991,36,2923,2959,10,359,369,1123,20336,21459
Ladakh,526,1125,1651,3,119,122,27,99,126,79,320,399
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,102543,182544,285087,427,6205,6632,2729,11198,13927,17674,54405,72079
Maharashtra,52015,171884,223899,60,3155,3215,302,2445,2747,11619,73375,84994
Manipur,8195,11357,19552,11,349,360,87,731,818,892,3522,4414
Meghalaya,3627,8781,12408,10,175,185,213,796,1009,1020,3424,4444
Mizoram,3006,4020,7026,9,84,93,38,101,139,689,1663,2352
Nagaland,4486,8829,13315,11,342,353,87,478,565,743,2687,3430
Odisha,30529,49912,80441,34,595,629,142,936,1078,5947,19231,25178
Puducherry,1385,5731,7116,0,361,361,4,155,159,83,1925,2008
Punjab,18650,116569,135219,54,5529,5583,195,4900,5095,1818,32932,34750
Rajasthan,162751,153571,316322,375,5150,5525,2874,7974,10848,21271,43544,64815
Sikkim,936,2563,3499,12,162,174,27,135,162,411,1504,1915
Tamil Nadu,38922,216061,254983,151,7736,7887,125,4223,4348,3705,79839,83544
Telangana,42844,115844,158688,124,4627,4751,834,6080,6914,3937,39106,43043
Tripura,3083,3221,6304,23,79,102,148,285,433,1091,1393,2484
Uttar Pradesh,343868,336119,679987,224,5084,5308,1359,5573,6932,108940,142984,251924
Uttarakhand,16694,42111,58805,30,1299,1329,204,1509,1713,4017,17565,21582
West Bengal,30792,50667,81459,113,726,839,6551,11509,18060,9173,19628,28801
