India/State/ UT,Total Schools,Schools having Digital Library availability,Percentage of Schools having Digital Library availability,,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1466109,1016010,81486,323430,45183,107886,60748,14766,31167,1205,7.4,6,18.1,9.6,2.7
Andaman & Nicobar Islands,414,342,2,70,0,8,5,0,3,0,1.9,1.5,0,4.3,0
Andhra Pradesh,61680,45167,1202,15127,184,8079,4316,114,3621,28,13.1,9.6,9.5,23.9,15.2
Arunachal Pradesh,3543,2922,71,503,47,32,13,1,18,0,0.9,0.4,1.4,3.6,0
Assam,58876,44925,3386,5677,4888,300,200,7,90,3,0.5,0.4,0.2,1.6,0.1
Bihar,91447,75550,724,8053,7120,1061,430,9,447,175,1.2,0.6,1.2,5.6,2.5
Chandigarh,230,119,7,77,27,24,7,0,17,0,10.4,5.9,0,22.1,0
Chhattisgarh,56333,48728,415,6931,259,896,585,13,296,2,1.6,1.2,3.1,4.3,0.8
"Dadra & Nagar Haveli andDaman & Diu",459,387,8,63,1,5,3,0,2,0,1.1,0.8,0,3.2,0
Delhi,5488,2673,245,2570,0,283,122,2,159,0,5.2,4.6,0.8,6.2,0
Goa,1504,806,558,140,0,31,6,18,7,0,2.1,0.7,3.2,5,0
Gujarat,53603,34651,5562,13387,3,1197,339,64,794,0,2.2,1,1.2,5.9,0
Haryana,23561,14443,6,8315,797,705,123,0,550,32,3,0.9,0,6.6,4
Himachal Pradesh,18062,15447,0,2613,2,209,74,0,135,0,1.2,0.5,0,5.2,0
Jammu & Kashmir,24278,18785,1,5407,85,343,129,0,212,2,1.4,0.7,0,3.9,2.4
Jharkhand,44596,35764,1149,1583,6100,776,467,6,92,211,1.7,1.3,0.5,5.8,3.5
Karnataka,76090,49520,7029,19531,10,2887,667,221,1998,1,3.8,1.3,3.1,10.2,10
Kerala,15934,4811,7178,3095,850,4699,1557,2209,736,197,29.5,32.4,30.8,23.8,23.2
Ladakh,979,841,27,111,0,46,45,0,1,0,4.7,5.4,0,0.9,0
Lakshadweep,37,37,0,0,0,2,2,0,0,0,5.4,5.4,0,0,0
Madhya Pradesh,122937,92741,615,28047,1534,2435,801,6,1607,21,2,0.9,1,5.7,1.4
Maharashtra,108451,65431,23964,18723,333,8436,4400,1943,2073,20,7.8,6.7,8.1,11.1,6
Manipur,4627,2922,583,996,126,59,17,1,38,3,1.3,0.6,0.2,3.8,2.4
Meghalaya,14588,7778,4173,2121,516,104,20,66,16,2,0.7,0.3,1.6,0.8,0.4
Mizoram,3891,2567,230,1023,71,4,4,0,0,0,0.1,0.2,0,0,0
Nagaland,2717,1954,0,762,1,34,14,0,19,1,1.3,0.7,0,2.5,100
Odisha,61891,48767,5920,6062,1142,7900,5521,1675,609,95,12.8,11.3,28.3,10,8.3
Puducherry,729,422,33,274,0,33,9,0,24,0,4.5,2.1,0,8.8,0
Punjab,27592,19245,447,7886,14,1661,1217,8,435,1,6,6.3,1.8,5.5,7.1
Rajasthan,106670,69538,0,34497,2635,1830,509,0,1312,9,1.7,0.7,0,3.8,0.3
Sikkim,1250,864,18,368,0,60,52,0,8,0,4.8,6,0,2.2,0
Tamil Nadu,58150,37658,8279,11969,244,58150,37658,8279,11969,244,100,100,100,100,100
Telangana,42476,29997,670,11707,102,1013,168,5,838,2,2.4,0.6,0.7,7.2,2
Tripura,4912,4245,43,367,257,45,41,0,3,1,0.9,1,0,0.8,0.4
Uttar Pradesh,251094,137003,8249,92348,13494,3864,957,112,2682,113,1.5,0.7,1.4,2.9,0.8
Uttarakhand,22618,16381,613,5140,484,303,107,5,183,8,1.3,0.7,0.8,3.6,1.7
West Bengal,94402,82579,79,7887,3857,372,163,2,173,34,0.4,0.2,2.5,2.2,0.9
