India/State/ UT,Total Schools,"Schools with Functional Rsain Water Harvesting facilityavailable","Percentage of Schools with Functional Rain WaterHarvesting  facility available",,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1466109,1016010,81486,323430,45183,410435,263476,30782,109975,6202,28,25.9,37.8,34,13.7
Andaman & Nicobar Islands,414,342,2,70,0,101,81,0,20,0,24.4,23.7,0,28.6,0
Andhra Pradesh,61680,45167,1202,15127,184,58787,42921,1149,14544,173,95.3,95,95.6,96.1,94
Arunachal Pradesh,3543,2922,71,503,47,164,52,12,96,4,4.6,1.8,16.9,19.1,8.5
Assam,58876,44925,3386,5677,4888,3051,2571,44,395,41,5.2,5.7,1.3,7,0.8
Bihar,91447,75550,724,8053,7120,11827,9016,69,1668,1074,12.9,11.9,9.5,20.7,15.1
Chandigarh,230,119,7,77,27,126,69,3,50,4,54.8,58,42.9,64.9,14.8
Chhattisgarh,56333,48728,415,6931,259,22003,18977,193,2776,57,39.1,38.9,46.5,40.1,22
"Dadra & Nagar Haveli andDaman & Diu",459,387,8,63,1,360,331,4,25,0,78.4,85.5,50,39.7,0
Delhi,5488,2673,245,2570,0,4937,2386,182,2369,0,90,89.3,74.3,92.2,0
Goa,1504,806,558,140,0,57,15,28,14,0,3.8,1.9,5,10,0
Gujarat,53603,34651,5562,13387,3,12019,6953,984,4081,1,22.4,20.1,17.7,30.5,33.3
Haryana,23561,14443,6,8315,797,7979,5058,2,2778,141,33.9,35,33.3,33.4,17.7
Himachal Pradesh,18062,15447,0,2613,2,1732,1277,0,454,1,9.6,8.3,0,17.4,50
Jammu & Kashmir,24278,18785,1,5407,85,1198,638,0,552,8,4.9,3.4,0,10.2,9.4
Jharkhand,44596,35764,1149,1583,6100,9735,7210,249,765,1511,21.8,20.2,21.7,48.3,24.8
Karnataka,76090,49520,7029,19531,10,23847,11372,2671,9802,2,31.3,23,38,50.2,20
Kerala,15934,4811,7178,3095,850,5198,1791,1976,1213,218,32.6,37.2,27.5,39.2,25.6
Ladakh,979,841,27,111,0,11,7,0,4,0,1.1,0.8,0,3.6,0
Lakshadweep,37,37,0,0,0,21,21,0,0,0,56.8,56.8,0,0,0
Madhya Pradesh,122937,92741,615,28047,1534,21040,12147,159,8563,171,17.1,13.1,25.9,30.5,11.1
Maharashtra,108451,65431,23964,18723,333,31049,14795,9062,7132,60,28.6,22.6,37.8,38.1,18
Manipur,4627,2922,583,996,126,1038,421,77,501,39,22.4,14.4,13.2,50.3,31
Meghalaya,14588,7778,4173,2121,516,1385,683,397,236,69,9.5,8.8,9.5,11.1,13.4
Mizoram,3891,2567,230,1023,71,1773,1214,97,436,26,45.6,47.3,42.2,42.6,36.6
Nagaland,2717,1954,0,762,1,858,566,0,292,0,31.6,29,0,38.3,0
Odisha,61891,48767,5920,6062,1142,32911,27096,3132,2297,386,53.2,55.6,52.9,37.9,33.8
Puducherry,729,422,33,274,0,306,148,12,146,0,42,35.1,36.4,53.3,0
Punjab,27592,19245,447,7886,14,5260,2916,86,2253,5,19.1,15.2,19.2,28.6,35.7
Rajasthan,106670,69538,0,34497,2635,32813,22276,0,10209,328,30.8,32,0,29.6,12.4
Sikkim,1250,864,18,368,0,120,96,3,21,0,9.6,11.1,16.7,5.7,0
Tamil Nadu,58150,37658,8279,11969,244,58150,37658,8279,11969,244,100,100,100,100,100
Telangana,42476,29997,670,11707,102,10268,5997,178,4082,11,24.2,20,26.6,34.9,10.8
Tripura,4912,4245,43,367,257,149,95,1,48,5,3,2.2,2.3,13.1,1.9
Uttar Pradesh,251094,137003,8249,92348,13494,43312,21614,1624,18675,1399,17.2,15.8,19.7,20.2,10.4
Uttarakhand,22618,16381,613,5140,484,3230,2067,102,996,65,14.3,12.6,16.6,19.4,13.4
West Bengal,94402,82579,79,7887,3857,3620,2941,7,513,159,3.8,3.6,8.9,6.5,4.1
