India/State/ UT,Total Schools,Number of schools having drinking water facility within school premises – Government aided,"No. of Government.aided schools nothaving drinkingwater facility withinschool premises","Percentage ofGovernment. aidedschools havingdrinking water facilitywithin school premises",,,,,,
"",,"Any source ofdrinking water",Tap Water,Packed Water,Hand Pump,Well,"UnprotectedWell","Othersources",,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11)
India,81486,79325,55988,1058,14505,5205,237,2332,2161,97.3
Andaman & Nicobar Islands,2,2,2,0,0,0,0,0,0,100
Andhra Pradesh,1202,1202,926,110,142,5,1,18,0,100
Arunachal Pradesh,71,70,67,0,1,1,0,1,1,98.6
Assam,3386,2995,452,10,2209,174,60,90,391,88.5
Bihar,724,678,181,2,492,1,0,2,46,93.6
Chandigarh,7,7,7,0,0,0,0,0,0,100
Chhattisgarh,415,414,217,6,187,4,0,0,1,99.8
"Dadra & Nagar Haveli andDaman & Diu",8,8,8,0,0,0,0,0,0,100
Delhi,245,245,245,0,0,0,0,0,0,100
Goa,558,558,555,0,1,2,0,0,0,100
Gujarat,5562,5562,4818,78,509,86,4,67,0,100
Haryana,6,6,6,0,0,0,0,0,0,100
Himachal Pradesh,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,1,1,1,0,0,0,0,0,0,100
Jharkhand,1149,1135,410,2,680,20,3,20,14,98.8
Karnataka,7029,7029,6487,81,238,110,3,110,0,100
Kerala,7178,7175,3165,41,384,3446,14,125,3,100
Ladakh,27,27,17,0,9,1,0,0,0,100
Lakshadweep,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,615,608,319,8,254,16,1,10,7,98.9
Maharashtra,23964,23957,18360,208,3295,1036,19,1039,7,100
Manipur,583,583,95,136,17,15,11,309,0,100
Meghalaya,4173,2624,2018,34,102,212,111,147,1549,62.9
Mizoram,230,227,189,3,0,0,1,34,3,98.7
Nagaland,0,0,0,0,0,0,0,0,0,0
Odisha,5920,5873,3497,109,2194,32,8,33,47,99.2
Puducherry,33,33,33,0,0,0,0,0,0,100
Punjab,447,447,405,1,27,0,0,14,0,100
Rajasthan,0,0,0,0,0,0,0,0,0,0
Sikkim,18,18,18,0,0,0,0,0,0,100
Tamil Nadu,8279,8279,7794,137,133,30,0,185,0,100
Telangana,670,611,471,39,58,1,0,42,59,91.2
Tripura,43,41,35,0,3,2,0,1,2,95.3
Uttar Pradesh,8249,8233,4596,50,3509,4,1,73,16,99.8
Uttarakhand,613,598,527,1,54,6,0,10,15,97.6
West Bengal,79,79,67,2,7,1,0,2,0,100
