India/State /UT,Number of teachers by Gender and Classes Taught – Government,,,,,,,,
"",Primary & Upper Primary,Upper Primary Only,Upper Primary & Secondary,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(14),(15),(16),(17),(18),(19),(20),(21),(22)
India,204858,149679,354537,529879,395762,925641,229098,177931,407029
Andaman & Nicobar Islands,72,110,182,183,280,463,323,497,820
Andhra Pradesh,6167,5078,11245,4980,3910,8890,37603,29498,67101
Arunachal Pradesh,1604,1048,2652,1507,1557,3064,510,413,923
Assam,4485,2940,7425,24974,11366,36340,17469,12743,30212
Bihar,31389,18718,50107,85501,59455,144956,987,271,1258
Chandigarh,71,105,176,138,272,410,447,1275,1722
Chhattisgarh,374,426,800,31622,17236,48858,471,393,864
"Dadra & Nagar Haveli andDaman & Diu",14,9,23,296,407,703,14,14,28
Delhi,0,0,0,8330,13005,21335,0,0,0
Goa,2,9,11,116,274,390,174,341,515
Gujarat,1849,737,2586,38281,33430,71711,383,254,637
Haryana,22,46,68,10039,6878,16917,4763,3037,7800
Himachal Pradesh,31,42,73,5650,2855,8505,8570,6804,15374
Jammu & Kashmir,1859,1051,2910,18532,10798,29330,518,260,778
Jharkhand,14434,4349,18783,13266,4711,17977,1481,1076,2557
Karnataka,35623,45174,80797,6467,6142,12609,3147,2201,5348
Kerala,126,351,477,3209,11174,14383,121,265,386
Ladakh,812,508,1320,194,306,500,374,209,583
Lakshadweep,39,37,76,31,53,84,33,28,61
Madhya Pradesh,11826,4948,16774,32679,18722,51401,5528,2973,8501
Maharashtra,6181,4827,11008,27351,11918,39269,1063,726,1789
Manipur,543,595,1138,528,618,1146,488,636,1124
Meghalaya,23,51,74,4287,4476,8763,92,105,197
Mizoram,4,5,9,3410,2409,5819,49,27,76
Nagaland,711,723,1434,2332,2018,4350,421,340,761
Odisha,30914,24527,55441,15274,10027,25301,6905,6592,13497
Puducherry,14,13,27,153,214,367,474,760,1234
Punjab,34,173,207,5503,9429,14932,7086,12786,19872
Rajasthan,32309,16903,49212,44826,25190,70016,35649,13663,49312
Sikkim,111,142,253,788,1103,1891,433,579,1012
Tamil Nadu,1354,2417,3771,20122,31781,51903,16086,27245,43331
Telangana,4235,4009,8244,4392,4311,8703,27135,21553,48688
Tripura,267,109,376,4405,1847,6252,873,460,1333
Uttar Pradesh,17015,9164,26179,72870,62046,134916,1178,1070,2248
Uttarakhand,41,63,104,5446,3421,8867,3479,2134,5613
West Bengal,303,272,575,32197,22123,54320,44771,26703,71474
