India/State/UT,Total Enrolment Reported,,
"",In UDISE+ portal,At Block level,Total
(1),(2),(3),(4)
India,251791722,542989,252334711
Andaman & Nicobar Islands,75107,0,75107
Andhra Pradesh,8622192,169197,8791389
Arunachal Pradesh,325018,0,325018
Assam,7116900,0,7116900
Bihar,24543698,0,24543698
Chandigarh,270310,0,270310
Chhattisgarh,5764210,0,5764210
Dadra & Nagar Haveli and Daman & Diu,139967,0,139967
Delhi,4628514,0,4628514
Goa,309594,13180,322774
Gujarat,11499580,0,11499580
Haryana,5727319,48337,5775656
Himachal Pradesh,1419388,0,1419388
Jammu & Kashmir,2614335,0,2614335
Jharkhand,7209261,2282,7211543
Karnataka,12398654,0,12398654
Kerala,6185360,902,6186262
Ladakh,58841,0,58841
Lakshadweep,12587,0,12587
Madhya Pradesh,15241680,0,15241680
Maharashtra,21150066,128241,21278307
Manipur,655620,0,655620
Meghalaya,1074966,0,1074966
Mizoram,293203,0,293203
Nagaland,415655,0,415655
Odisha,7649925,111346,7761271
Puducherry,251481,283,251764
Punjab,5915223,69221,5984444
Rajasthan,17707162,0,17707162
Sikkim,128204,0,128204
Tamil Nadu,12880110,0,12880110
Telangana,7027086,0,7027086
Tripura,694539,0,694539
Uttar Pradesh,41672205,0,41672205
Uttarakhand,2357204,0,2357204
West Bengal,17756558,0,17756558
