India/State/ UT,Enrolment – Private Unaided Recognized,,,,,,,,,,,
"",Pre-Primary,Primary (1 to 5),Upper Primary (6-8),Elementary (1-8),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,3847649,3174368,7022017,19973030,15576838,35549868,10619006,8013336,18632342,30592036,23590174,54182210
Andaman and Nicobar Islands,1907,1797,3704,4932,4400,9332,2351,2122,4473,7283,6522,13805
Andhra Pradesh,234590,200583,435173,944163,748444,1692607,502796,364628,867424,1446959,1113072,2560031
Arunachal Pradesh,7442,6596,14038,27562,22529,50091,11171,7911,19082,38733,30440,69173
Assam,77165,63237,140402,349474,284836,634310,177167,146521,323688,526641,431357,957998
Bihar,151672,95019,246691,706793,427045,1133838,346062,213276,559338,1052855,640321,1693176
Chandigarh,6692,6312,13004,17526,14965,32491,11006,8866,19872,28532,23831,52363
Chhattisgarh,154866,137676,292542,369503,319519,689022,172359,144341,316700,541862,463860,1005722
"Dadra and Nagar Haveli andDaman and Diu",2655,2028,4683,10349,8003,18352,4783,3413,8196,15132,11416,26548
Delhi,94897,77818,172715,445012,328011,773023,223970,150893,374863,668982,478904,1147886
Goa,5149,4279,9428,12412,10629,23041,2365,2146,4511,14777,12775,27552
Gujarat,59722,47740,107462,1154484,873746,2028230,664025,479904,1143929,1818509,1353650,3172159
Haryana,95648,77301,172949,745513,530796,1276309,487656,330613,818269,1233169,861409,2094578
Himachal Pradesh,46422,38535,84957,125475,103047,228522,67296,52571,119867,192771,155618,348389
Jammu and Kashmir,112413,95570,207983,278249,227510,505759,145058,114967,260025,423307,342477,765784
Jharkhand,38562,28689,67251,173560,124985,298545,142203,101569,243772,315763,226554,542317
Karnataka,187886,160313,348199,1363819,1130252,2494071,709948,580726,1290674,2073767,1710978,3784745
Kerala,88536,81648,170184,358322,328126,686448,168698,153603,322301,527020,481729,1008749
Ladakh,3297,2859,6156,6930,5990,12920,3506,3123,6629,10436,9113,19549
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,405957,331965,737922,1459476,1130622,2590098,840539,618535,1459074,2300015,1749157,4049172
Maharashtra,89543,77804,167347,1580390,1275218,2855608,776943,580638,1357581,2357333,1855856,4213189
Manipur,21861,19598,41459,80206,73639,153845,50309,46776,97085,130515,120415,250930
Meghalaya,23891,23785,47676,53623,53088,106711,14964,16238,31202,68587,69326,137913
Mizoram,11070,11002,22072,29036,28406,57442,13861,13916,27777,42897,42322,85219
Nagaland,19930,18021,37951,54090,48216,102306,30028,27384,57412,84118,75600,159718
Odisha,19338,15162,34500,353860,274865,628725,162183,118472,280655,516043,393337,909380
Puducherry,9535,8206,17741,27605,22584,50189,17197,13530,30727,44802,36114,80916
Punjab,229723,188000,417723,627649,496311,1123960,350621,269007,619628,978270,765318,1743588
Rajasthan,511766,399225,910991,2148087,1584010,3732097,1072295,714146,1786441,3220382,2298156,5518538
Sikkim,6758,5960,12718,11411,10031,21442,3853,3062,6915,15264,13093,28357
Tamil Nadu,529441,469128,998569,1239769,1071560,2311329,600364,483788,1084152,1840133,1555348,3395481
Telangana,175050,149308,324358,897914,762221,1660135,462068,379258,841326,1359982,1141479,2501461
Tripura,11245,10065,21310,31357,25915,57272,14843,12196,27039,46200,38111,84311
Uttar Pradesh,319822,241262,561084,3660242,2723899,6384141,2063597,1623067,3686664,5723839,4346966,10070805
Uttarakhand,54312,44583,98895,301134,237938,539072,161095,120493,281588,462229,358431,820660
West Bengal,38886,33294,72180,323103,265482,588585,141826,111637,253463,464929,377119,842048
