India/State /UT,Number of teachers by Classes Taught – Others,,,,,,,,,
"",Total,"Pre-PrimaryOnly","Pre-PrimaryandPrimary","PrimaryOnly","PrimaryandUpperPrimary","UpperPrimaryOnly","UpperPrimaryandSecondary","SecondaryOnly","SecondaryandHigherSecondary","HigherSecondaryOnly"
(1),(2),(3),(4),(5),( 6),(7),( 8),(9),(10),(11)
India,274492,2665,13931,127580,38209,68096,8435,9889,2861,2826
Andaman & Nicobar Islands,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,610,5,54,214,237,74,13,13,0,0
Arunachal Pradesh,380,7,32,232,52,57,0,0,0,0
Assam,16060,12,198,9196,101,2193,284,3038,12,1026
Bihar,55211,540,1165,15087,11112,26105,328,554,75,245
Chandigarh,333,51,28,121,58,48,15,4,8,0
Chhattisgarh,811,0,2,526,22,261,0,0,0,0
"Dadra & Nagar Haveli andDaman & Diu",20,0,0,0,10,1,1,1,1,6
Delhi,0,0,0,0,0,0,0,0,0,0
Goa,0,0,0,0,0,0,0,0,0,0
Gujarat,40,0,0,12,4,8,2,6,2,6
Haryana,5655,91,82,3510,506,1380,24,42,16,4
Himachal Pradesh,4,0,0,4,0,0,0,0,0,0
Jammu & Kashmir,592,18,54,242,92,125,16,37,3,5
Jharkhand,49918,721,2099,20779,10124,14366,917,790,22,100
Karnataka,26,0,0,10,5,9,1,1,0,0
Kerala,7104,425,69,4270,424,1658,93,131,7,27
Ladakh,0,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,4876,5,56,2383,1717,707,1,1,5,1
Maharashtra,2271,65,99,1423,240,282,49,109,0,4
Manipur,1083,45,141,506,231,160,0,0,0,0
Meghalaya,2427,51,284,823,182,220,121,536,13,197
Mizoram,433,17,16,108,73,54,0,125,0,40
Nagaland,7,0,3,4,0,0,0,0,0,0
Odisha,8399,90,391,4718,1661,780,172,450,25,112
Puducherry,0,0,0,0,0,0,0,0,0,0
Punjab,75,1,12,34,5,22,1,0,0,0
Rajasthan,7027,29,106,5275,707,696,102,44,53,15
Sikkim,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,1825,162,82,1153,149,224,16,33,0,6
Telangana,240,2,10,143,66,8,2,9,0,0
Tripura,1067,18,84,880,14,36,12,9,6,8
Uttar Pradesh,70457,20,139,42620,8623,13625,2037,2393,554,446
Uttarakhand,2310,15,18,1502,128,479,13,110,10,35
West Bengal,35231,275,8707,11805,1666,4518,4215,1453,2049,543
