India/State/ UT,"Allmanagement",Government,"GovernmentAided","PrivateUnaidedRecognized",Others,,,,
"",,Total,KVS,NVS,"Other CentralGovernment","StateGovernment",,,
(1),(2),(3),(4),(5),(6),(7),(9),(10),(11)
India,120913682,68908978,605549,110910,48358,68144161,12677577,36891979,2435148
Andaman & Nicobar Islands,36624,25587,1447,444,0,23696,889,10148,0
Andhra Pradesh,4152922,2193224,14146,2068,762,2176248,85929,1865822,7947
Arunachal Pradesh,163205,108589,5034,2722,145,100688,10844,41688,2084
Assam,3604125,2671801,24524,5282,1813,2640182,172274,645673,114377
Bihar,12039999,10312775,21861,5636,725,10284553,82807,1098590,545827
Chandigarh,126204,78208,3287,274,715,73932,3960,41328,2708
Chhattisgarh,2873396,2092792,16939,4977,1948,2068928,35998,740452,4154
"Dadra & Nagar Haveli andDaman & Diu",66668,46690,755,541,0,45394,3292,16686,0
Delhi,2182415,1399727,52991,325,0,1346411,71266,711422,0
Goa,149954,20568,2111,392,0,18065,110293,19093,0
Gujarat,5350768,2723509,18257,5184,883,2699185,820322,1806333,604
Haryana,2584965,1237213,16082,4443,655,1216033,1670,1309504,36578
Himachal Pradesh,676522,432116,7089,2961,574,421492,0,244386,20
Jammu & Kashmir,1243871,723747,13548,2493,0,707706,103,516681,3340
Jharkhand,3520100,2524103,14216,2609,2667,2504611,156460,490720,348817
Karnataka,6024565,2744832,27784,5066,1596,2710386,732763,2546697,273
Kerala,3035024,909361,26511,3730,80,879040,1382344,702199,41120
Ladakh,29341,15235,512,528,108,14087,167,13939,0
Lakshadweep,6176,6176,141,82,0,5953,0,0,0
Madhya Pradesh,7256574,4603613,52849,9932,2377,4538455,46279,2575993,30689
Maharashtra,9987307,2739643,35703,6323,5790,2691827,4651750,2578689,17225
Manipur,320838,107075,3165,2623,1781,99506,14532,193635,5596
Meghalaya,550359,218975,2224,2127,0,214624,187366,124485,19533
Mizoram,145859,66277,845,848,34,64550,11462,64807,3313
Nagaland,206698,81477,842,1267,80,79288,0,125180,41
Odisha,3725235,2617777,29637,6366,2173,2579601,467166,605317,34975
Puducherry,122835,46698,2392,907,0,43399,14825,61312,0
Punjab,2734746,1405506,24236,5894,1839,1373537,83782,1245073,385
Rajasthan,8250367,4768785,30829,6396,716,4730844,0,3410284,71298
Sikkim,63242,40006,402,940,15,38649,2466,20770,0
Tamil Nadu,6284162,2555700,29052,0,5167,2521481,1112401,2603857,12204
Telangana,3385330,1537605,15492,1330,3857,1516926,52568,1792964,2193
Tripura,345425,268758,3565,1245,0,263948,11804,58906,5957
Uttar Pradesh,19627569,9069929,73965,11532,5230,8979202,2257869,7617157,682614
Uttarakhand,1110362,485083,18993,2389,808,462893,77806,520828,26645
West Bengal,8929930,8029818,14123,1034,5820,8008841,14120,471361,414631
