India/State/ UT,Total Schools,Schools with electricity facility,Schools with functional electricity facility,,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided","Others","Allmanagement","Government.","Government.aided","Pvt.unaided","Others","Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1466109,1016010,81486,323430,45183,1344828,938974,72853,298694,34307,1312345,910375,72197,296216,33557
Andaman & Nicobar Islands,414,342,2,70,0,383,311,2,70,0,378,306,2,70,0
Andhra Pradesh,61680,45167,1202,15127,184,61509,45007,1197,15121,184,61463,44964,1195,15120,184
Arunachal Pradesh,3543,2922,71,503,47,2426,1826,71,489,40,1980,1388,70,483,39
Assam,58876,44925,3386,5677,4888,50268,44255,884,4572,557,49796,44053,804,4501,438
Bihar,91447,75550,724,8053,7120,76731,62650,582,7413,6086,75083,61189,569,7343,5982
Chandigarh,230,119,7,77,27,230,119,7,77,27,230,119,7,77,27
Chhattisgarh,56333,48728,415,6931,259,53878,46402,380,6849,247,51727,44293,376,6817,241
"Dadra & Nagar Haveli andDaman & Diu",459,387,8,63,1,459,387,8,63,1,459,387,8,63,1
Delhi,5488,2673,245,2570,0,5488,2673,245,2570,0,5488,2673,245,2570,0
Goa,1504,806,558,140,0,1504,806,558,140,0,1504,806,558,140,0
Gujarat,53603,34651,5562,13387,3,53570,34619,5561,13387,3,53564,34613,5561,13387,3
Haryana,23561,14443,6,8315,797,23389,14325,6,8267,791,23174,14122,6,8258,788
Himachal Pradesh,18062,15447,0,2613,2,17758,15146,0,2610,2,17588,14978,0,2608,2
Jammu & Kashmir,24278,18785,1,5407,85,22301,17323,1,4900,77,21231,16387,1,4768,75
Jharkhand,44596,35764,1149,1583,6100,42740,34682,813,1532,5713,41460,33552,760,1522,5626
Karnataka,76090,49520,7029,19531,10,75427,49105,7019,19293,10,75092,48803,7015,19264,10
Kerala,15934,4811,7178,3095,850,15919,4803,7173,3094,849,15914,4800,7173,3092,849
Ladakh,979,841,27,111,0,804,674,27,103,0,779,649,27,103,0
Lakshadweep,37,37,0,0,0,37,37,0,0,0,37,37,0,0,0
Madhya Pradesh,122937,92741,615,28047,1534,110628,81677,549,26976,1426,105360,76678,547,26725,1410
Maharashtra,108451,65431,23964,18723,333,103110,60458,23725,18595,332,94428,52019,23567,18510,332
Manipur,4627,2922,583,996,126,3122,1756,286,977,103,2823,1504,243,975,101
Meghalaya,14588,7778,4173,2121,516,4048,1491,1435,870,252,3741,1312,1365,824,240
Mizoram,3891,2567,230,1023,71,3427,2227,223,911,66,3225,2040,219,901,65
Nagaland,2717,1954,0,762,1,2129,1413,0,715,1,1895,1190,0,704,1
Odisha,61891,48767,5920,6062,1142,57570,45338,5246,5901,1085,56880,44777,5154,5874,1075
Puducherry,729,422,33,274,0,729,422,33,274,0,729,422,33,274,0
Punjab,27592,19245,447,7886,14,27577,19237,447,7879,14,27561,19226,447,7874,14
Rajasthan,106670,69538,0,34497,2635,97411,62697,0,32624,2090,96016,61666,0,32303,2047
Sikkim,1250,864,18,368,0,1239,856,18,365,0,1228,849,18,361,0
Tamil Nadu,58150,37658,8279,11969,244,58150,37658,8279,11969,244,58150,37658,8279,11969,244
Telangana,42476,29997,670,11707,102,40498,28098,592,11706,102,39293,26899,590,11702,102
Tripura,4912,4245,43,367,257,3098,2629,38,333,98,2967,2506,37,333,91
Uttar Pradesh,251094,137003,8249,92348,13494,214251,121784,6798,75765,9904,209611,118804,6677,74518,9612
Uttarakhand,22618,16381,613,5140,484,20853,14908,572,4924,449,20337,14429,567,4894,447
West Bengal,94402,82579,79,7887,3857,92167,81175,78,7360,3554,91154,80277,77,7289,3511
