India/State/ UT,"Allmanagement",Government,"GovernmentAided","PrivateUnaidedRecognized",Others,,,,
"",,Total,KVS,NVS,"Other CentralGovernment","StateGovernment",,,
(1),(2),(3),(4),(5),(6),(7),(9),(10),(11)
India,130878040,67295939,716989,152619,72403,66353928,13555903,47270406,2755792
Andaman & Nicobar Islands,38483,26472,1557,358,0,24557,1006,11005,0
Andhra Pradesh,4469270,2062789,14770,3179,1342,2043498,76970,2321818,7693
Arunachal Pradesh,161813,96933,5164,2562,395,88812,10656,51678,2546
Assam,3512775,2479909,26898,6669,2472,2443870,152718,766529,113619
Bihar,12503699,10046238,28460,10230,1924,10005624,72538,1683461,701462
Chandigarh,144106,86033,3936,257,960,80880,5172,49125,3776
Chhattisgarh,2890814,1989731,18528,6317,2709,1962177,35753,859801,5529
"Dadra & Nagar Haveli andDaman & Diu",73299,47080,851,663,0,45566,3759,22282,178
Delhi,2446099,1376489,72324,456,0,1303709,78309,991301,0
Goa,159640,22085,2524,385,0,19176,115446,22109,0
Gujarat,6148812,2787763,23641,7337,1549,2755236,889423,2471122,504
Haryana,3142354,1227273,19122,5688,1723,1200740,934,1863712,50435
Himachal Pradesh,742866,439942,8212,2777,1706,427247,0,302899,25
Jammu & Kashmir,1370464,730921,15885,4054,0,710982,98,635506,3939
Jharkhand,3689161,2418995,17589,4368,4237,2392801,133714,643432,493020
Karnataka,6374089,2582389,30068,6519,3384,2542418,778774,3012521,405
Kerala,3150336,945573,27071,3449,105,914948,1400423,758214,46126
Ladakh,29500,13432,531,397,213,12291,402,15666,0
Lakshadweep,6411,6411,153,89,0,6169,0,0,0
Madhya Pradesh,7985106,4492016,61140,15470,3141,4412265,55473,3404870,32747
Maharashtra,11162759,2741514,41282,8412,7547,2684273,5101680,3298390,21175
Manipur,334782,105533,3187,2686,2419,97241,14717,208496,6036
Meghalaya,524607,219888,2834,1810,0,215244,169598,117529,17592
Mizoram,147344,69238,968,834,308,67128,9566,65089,3451
Nagaland,208957,74698,996,1179,653,71870,0,134212,47
Odisha,3924690,2649774,33881,8697,3088,2604108,471708,755374,47834
Puducherry,128646,44597,2370,899,0,41328,8491,75558,0
Punjab,3180477,1497030,27038,4819,2403,1462770,104718,1578224,505
Rajasthan,9456795,4481708,40002,10852,2671,4428183,0,4899177,75910
Sikkim,64962,39591,520,598,10,38463,1394,23977,0
Tamil Nadu,6595948,2486326,31138,0,6149,2449039,1026908,3067972,14742
Telangana,3641756,1471607,16858,2007,4348,1448394,34096,2134078,1975
Tripura,349114,255526,3630,1683,0,250213,15089,70285,8214
Uttar Pradesh,22044636,8948403,94743,21611,8988,8823061,2694449,9700081,701703
Uttarakhand,1246842,457574,23326,3716,1563,428969,79819,679278,30171
West Bengal,8826628,7874458,15792,1592,6396,7850678,12102,575635,364433
