India/State/ UT,Net Enrolment Rate (NER),,,,,,,,,,,,,,
"",Primary (1 to 5),Upper Primary (6 to 8),Elementary (1 to 8),Secondary (9-10),Higher Secondary (11-12),,,,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,78.6,82.9,80.6,63.8,66.0,64.8,83.9,87.4,85.5,46.8,48.4,47.6,32.5,35.3,33.8
Andaman and Nicobar Islands,82.8,81.7,82.3,65.4,65.4,65.4,87.7,87.3,87.5,47.5,49.9,48.7,49.5,52.8,51.1
Andhra Pradesh,86.8,89.9,88.3,81.1,82.1,81.6,92.5,93.3,92.9,64.5,67.8,66.1,39.8,47.2,43.4
Arunachal Pradesh,85.8,88.9,87.3,50.6,55.2,52.9,88.2,92.0,90.1,32.6,33.9,33.3,24.4,27.6,26.0
Assam,80.7,87.8,84.1,49.8,57.8,53.7,84.2,91.0,87.5,30.7,38.4,34.5,15.6,18.8,17.2
Bihar,73.4,81.0,76.9,51.0,57.3,54.0,76.4,83.8,79.8,31.9,38.3,34.9,14.1,16.8,15.4
Chandigarh,93.6,98.6,95.9,88.4,97.7,92.5,100.0,100.0,100.0,69.2,76.5,72.4,69.9,80.6,74.4
Chhattisgarh,79.6,80.6,80.0,70.3,70.8,70.5,85.4,86.1,85.7,46.6,50.5,48.5,34.4,42.2,38.3
"Dadra and Nagar Haveli andDaman and Diu",97.7,99.9,98.7,85.1,89.7,87.2,100.0,100.0,100.0,60.6,70.3,64.9,31.6,50.9,39.0
Delhi,96.4,100.0,100.0,97.4,100.0,100.0,100.0,100.0,100.0,79.0,86.4,82.4,64.2,72.9,68.2
Goa,100.0,100.0,100.0,88.9,92.1,90.4,100.0,100.0,100.0,73.7,78.3,75.8,60.1,69.4,64.4
Gujarat,87.0,92.8,89.7,84.1,86.4,85.2,90.3,94.4,92.2,65.3,62.7,64.1,39.2,41.5,40.3
Haryana,79.1,80.9,79.9,75.2,76.3,75.7,88.2,88.8,88.5,59.4,62.1,60.6,45.1,49.8,47.2
Himachal Pradesh,84.3,84.5,84.1,62.8,61.9,62.6,91.7,92.5,92.0,38.7,36.5,37.7,36.8,34.3,35.5
Jammu and Kashmir,86.3,86.1,86.2,43.1,44.8,43.8,79.3,81.0,80.1,27.2,27.0,27.1,21.4,21.5,21.5
Jharkhand,68.3,71.3,69.7,45.3,47.5,46.4,73.7,75.6,74.6,27.6,30.3,28.9,17.0,18.7,17.8
Karnataka,94.8,97.4,96.0,86.0,86.7,86.4,100.0,100.0,100.0,71.8,75.1,73.4,42.9,52.1,47.4
Kerala,84.6,85.4,85.0,79.3,81.1,80.1,90.4,90.9,90.6,69.1,72.2,70.7,60.9,67.7,64.2
Ladakh,91.1,89.8,90.5,60.9,71.1,65.8,88.9,92.3,90.6,45.7,56.5,50.8,23.7,26.8,25.3
Lakshadweep,91.5,89.3,90.4,72.4,65.3,68.6,90.0,84.9,87.4,40.0,43.7,41.8,57.2,51.3,54.2
Madhya Pradesh,63.3,67.5,65.3,58.5,61.0,59.6,72.3,76.5,74.3,38.6,38.3,38.5,26.5,27.4,26.9
Maharashtra,87.2,92.1,89.4,71.9,69.4,70.7,91.6,94.1,92.8,53.3,50.4,51.9,40.1,38.5,39.3
Manipur,100.0,100.0,100.0,58.0,59.9,59.0,100.0,100.0,100.0,38.4,40.6,39.5,39.2,38.9,39.0
Meghalaya,100.0,100.0,100.0,63.7,77.8,70.6,100.0,100.0,100.0,34.4,47.6,40.9,18.0,26.6,22.2
Mizoram,100.0,100.0,100.0,78.2,83.5,80.8,100.0,100.0,100.0,54.3,63.6,58.8,32.0,39.5,35.6
Nagaland,74.9,78.4,76.6,46.7,52.0,49.2,74.7,79.2,76.8,31.8,38.7,35.1,22.5,27.3,24.9
Odisha,83.6,82.7,83.1,66.4,65.4,65.9,88.1,87.2,87.7,44.5,44.0,44.2,25.7,27.0,26.3
Puducherry,95.8,94.2,95.0,93.4,94.6,93.9,98.3,97.9,98.1,84.5,89.3,86.8,71.7,86.9,78.9
Punjab,91.7,90.8,91.3,74.6,73.7,74.2,98.6,98.2,98.4,52.6,50.4,51.6,45.9,43.4,44.9
Rajasthan,83.4,87.2,85.2,67.5,66.9,67.2,88.0,89.6,88.8,50.2,48.1,49.2,40.0,37.6,38.8
Sikkim,83.4,82.0,82.7,54.3,54.7,54.5,82.8,81.1,81.9,44.0,46.5,45.3,31.9,39.5,35.7
Tamil Nadu,87.0,89.4,88.1,87.6,87.9,87.7,92.0,93.8,92.9,76.8,77.4,77.1,60.1,68.1,64.0
Telangana,90.0,95.1,92.4,79.8,84.9,82.2,96.8,100.0,98.4,59.9,66.9,63.3,46.0,52.0,48.8
Tripura,100.0,100.0,100.0,74.5,79.5,76.9,100.0,100.0,100.0,57.9,64.2,61.0,40.1,46.5,43.2
Uttar Pradesh,64.9,69.8,67.2,44.3,46.9,45.5,71.3,75.8,73.4,31.6,30.9,31.3,22.2,21.1,21.7
Uttarakhand,91.6,98.5,94.8,75.9,79.9,77.8,96.9,100.0,99.3,62.0,65.0,63.3,50.9,56.1,53.2
West Bengal,89.0,90.4,89.7,70.1,70.7,70.4,92.5,93.9,93.2,52.0,54.2,53.1,37.0,48.3,42.5
