India/State/ UT,Enrolment – Government Aided,,,,,,,,,,,
"",Secondary (9-10),Higher Secondary (11-12),Primary to Higher Secondary (1-12),Total (Pre-Primary to Higher Secondary),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25)
India,3932172,3556652,7488824,3148928,2917033,6065961,13400544,12525080,25925624,13555903,12677577,26233480
Andaman and Nicobar Islands,198,201,399,282,215,497,978,857,1835,1006,889,1895
Andhra Pradesh,12540,15597,28137,17415,17775,35190,76422,85427,161849,76970,85929,162899
Arunachal Pradesh,1401,1433,2834,450,537,987,10193,10322,20515,10656,10844,21500
Assam,37503,45909,83412,27159,30758,57917,152477,172010,324487,152718,172274,324992
Bihar,22064,24497,46561,10893,13836,24729,72476,82762,155238,72538,82807,155345
Chandigarh,758,637,1395,2312,1080,3392,4929,3617,8546,5172,3960,9132
Chhattisgarh,6551,6911,13462,6494,7686,14180,35636,35844,71480,35753,35998,71751
"Dadra and Nagar Haveli andDaman and Diu",841,760,1601,939,909,1848,3740,3273,7013,3759,3292,7051
Delhi,16731,14408,31139,17293,13846,31139,77773,70673,148446,78309,71266,149575
Goa,20214,18751,38965,17023,17482,34505,105442,100450,205892,115446,110293,225739
Gujarat,507154,443983,951137,304638,311030,615668,889384,820142,1709526,889423,820322,1709745
Haryana,241,345,586,204,611,815,934,1670,2604,934,1670,2604
Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,19,13,32,0,0,0,78,77,155,98,103,201
Jharkhand,19423,25899,45322,7499,9180,16679,128696,151176,279872,133714,156460,290174
Karnataka,249635,242610,492245,130331,121085,251416,776969,731171,1508140,778774,732763,1511537
Kerala,256473,249968,506441,192641,197482,390123,1313741,1298254,2611995,1400423,1382344,2782767
Ladakh,18,24,42,0,0,0,402,167,569,402,167,569
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,15747,11994,27741,17350,12930,30280,54937,45985,100922,55473,46279,101752
Maharashtra,1270345,1161132,2431477,1072966,983277,2056243,5085195,4634913,9720108,5101680,4651750,9753430
Manipur,1660,1643,3303,803,539,1342,14037,13866,27903,14717,14532,29249
Meghalaya,26608,33717,60325,10371,16031,26402,143451,162662,306113,169598,187366,356964
Mizoram,3920,4974,8894,2265,2821,5086,9566,11462,21028,9566,11462,21028
Nagaland,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,178085,174790,352875,211681,217905,429586,471698,467158,938856,471708,467166,938874
Puducherry,1899,2976,4875,560,1830,2390,7827,13798,21625,8491,14825,23316
Punjab,21057,16147,37204,28667,18430,47097,102904,81910,184814,104718,83782,188500
Rajasthan,0,0,0,0,0,0,0,0,0,0,0,0
Sikkim,274,493,767,228,543,771,1300,2332,3632,1394,2466,3860
Tamil Nadu,221366,232773,454139,176556,222067,398623,1025497,1110909,2136406,1026908,1112401,2139309
Telangana,4805,9018,13823,3672,5454,9126,32875,50887,83762,34096,52568,86664
Tripura,3067,2069,5136,4546,3671,8217,15044,11762,26806,15089,11804,26893
Uttar Pradesh,1002725,786398,1789123,855190,659819,1515009,2694372,2257814,4952186,2694449,2257869,4952318
Uttarakhand,26691,23690,50381,25960,24920,50880,79758,77746,157504,79819,77806,157625
West Bengal,2159,2892,5051,2540,3284,5824,11813,13984,25797,12102,14120,26222
