India/State/ UT,Percentage of Trained Teachers – All Types of Management,,,,,,,,
"",Pre-Primary,Primary (1 to 5),Upper Primary (6-8),,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10)
India,70.0,55.6,60.9,92.7,91.2,91.8,91.6,91.7,91.6
Andaman & Nicobar Islands,44.1,47.0,46.5,96.7,96.6,96.6,93.4,93.9,93.7
Andhra Pradesh,16.0,24.5,23.0,96.9,97.1,97.0,92.4,94.5,93.4
Arunachal Pradesh,45.2,41.1,42.0,90.8,86.5,88.6,91.6,91.9,91.7
Assam,46.0,43.0,44.4,84.2,81.9,83.1,76.6,78.7,77.5
Bihar,43.0,41.6,41.9,88.2,86.6,87.5,86.1,85.1,85.7
Chandigarh,53.8,43.7,43.9,95.2,93.2,93.6,90.1,87.5,88.1
Chhattisgarh,39.7,38.7,38.8,96.5,89.8,92.9,96.1,91.2,93.7
"Dadra & Nagar Haveli and Daman &Diu",37.5,59.3,58.7,97.0,94.2,95.0,93.8,94.5,94.3
Delhi,74.5,66.1,66.2,98.6,97.3,97.6,96.6,97.0,96.9
Goa,75.0,69.9,70.0,98.1,98.6,98.6,96.8,98.6,98.2
Gujarat,43.2,52.0,51.3,98.2,96.3,97.0,95.7,95.2,95.4
Haryana,48.2,37.9,38.1,96.5,91.3,92.9,93.5,92.0,92.6
Himachal Pradesh,55.2,49.2,50.7,98.0,96.4,97.0,94.8,95.3,95.1
Jammu & Kashmir,17.6,23.6,21.6,82.8,71.1,76.6,82.0,73.0,77.9
Jharkhand,53.4,43.8,46.2,91.6,88.7,90.4,91.5,90.0,90.9
Karnataka,45.8,67.8,67.1,98.3,97.1,97.5,97.3,97.3,97.3
Kerala,72.2,88.4,88.2,98.9,98.8,98.8,97.4,97.7,97.6
Ladakh,26.9,38.3,34.3,90.7,87.8,89.1,91.0,87.7,89.4
Lakshadweep,0.0,97.2,87.5,96.6,95.4,95.9,93.2,94.1,93.7
Madhya Pradesh,25.4,29.2,28.6,94.5,89.9,92.2,94.0,91.0,92.5
Maharashtra,47.8,58.3,57.5,98.2,96.5,97.3,96.3,95.3,95.8
Manipur,49.6,54.6,53.7,83.4,82.6,82.9,80.2,83.9,82.1
Meghalaya,40.5,34.9,36.4,70.0,65.9,67.4,76.8,76.8,76.8
Mizoram,50.7,53.0,52.5,90.4,87.0,88.5,93.3,89.4,91.5
Nagaland,45.3,50.1,48.8,73.0,73.6,73.4,73.2,76.0,74.7
Odisha,33.7,40.1,39.4,97.1,95.4,96.2,96.5,96.2,96.4
Puducherry,53.3,58.7,58.6,95.4,97.1,96.9,89.3,95.6,93.9
Punjab,28.4,36.7,35.2,94.7,92.2,92.7,92.5,91.4,91.6
Rajasthan,27.0,35.4,33.7,95.1,90.2,92.8,95.8,93.3,94.8
Sikkim,37.6,50.3,49.2,83.1,79.9,81.1,83.6,85.3,84.6
Tamil Nadu,37.6,67.3,66.7,96.6,97.9,97.7,89.7,94.0,92.8
Telangana,25.1,44.2,41.7,96.4,92.5,93.7,92.1,92.8,92.5
Tripura,35.2,37.1,36.4,71.3,74.5,72.4,91.0,90.4,90.8
Uttar Pradesh,33.7,41.4,40.3,89.4,87.7,88.5,89.1,87.8,88.5
Uttarakhand,31.4,39.9,39.2,94.1,91.0,92.0,94.9,93.7,94.2
West Bengal,79.5,73.1,76.7,91.7,84.2,88.1,94.9,94.6,94.8
