India/State /UT,Number of teachers by Gender and Classes Taught – Government Aided,,,,,,,,
"",Secondary Only,Secondary & Higher Secondary,Higher Secondary Only,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(23),(24),(25),(26),(27),(28),(29),(30),(31)
India,153150,84041,237191,13677,5921,19598,79669,55658,135327
Andaman & Nicobar Islands,3,4,7,3,0,3,5,17,22
Andhra Pradesh,336,451,787,0,0,0,654,535,1189
Arunachal Pradesh,83,24,107,48,8,56,22,5,27
Assam,4351,1890,6241,25,12,37,1428,842,2270
Bihar,763,284,1047,130,56,186,190,51,241
Chandigarh,2,11,13,9,32,41,16,59,75
Chhattisgarh,130,94,224,168,183,351,155,107,262
"Dadra & Nagar Haveli andDaman & Diu",20,26,46,1,0,1,27,34,61
Delhi,308,820,1128,0,0,0,506,895,1401
Goa,385,1258,1643,0,0,0,566,1360,1926
Gujarat,17063,7367,24430,1616,792,2408,9983,6111,16094
Haryana,3,5,8,3,26,29,2,7,9
Himachal Pradesh,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,0,0,0,0,0,0,0,0,0
Jharkhand,286,286,572,32,16,48,137,78,215
Karnataka,16174,6629,22803,126,40,166,3658,1783,5441
Kerala,8309,20831,29140,67,99,166,5336,11346,16682
Ladakh,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0
Madhya Pradesh,270,206,476,532,532,1064,262,235,497
Maharashtra,56641,22807,79448,1517,678,2195,29518,16638,46156
Manipur,113,108,221,7,1,8,54,41,95
Meghalaya,2309,2038,4347,92,123,215,395,585,980
Mizoram,657,319,976,0,0,0,178,147,325
Nagaland,0,0,0,0,0,0,0,0,0
Odisha,14660,2769,17429,0,0,0,5446,2680,8126
Puducherry,12,67,79,12,25,37,22,68,90
Punjab,438,881,1319,84,235,319,392,796,1188
Rajasthan,0,0,0,0,0,0,0,0,0
Sikkim,12,16,28,15,20,35,16,13,29
Tamil Nadu,3912,6936,10848,71,131,202,4378,6607,10985
Telangana,156,430,586,0,0,0,90,119,209
Tripura,210,94,304,53,22,75,251,160,411
Uttar Pradesh,24692,6841,31533,8494,2341,10835,15193,3785,18978
Uttarakhand,781,468,1249,490,394,884,747,495,1242
West Bengal,71,81,152,82,155,237,42,59,101
