India/State /UT,Repetition Rate,,,,,,,,
"",Primary (1 to 5),Upper Primary (6-8),Secondary (9-10),,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10)
India,1.3,1.2,1.3,1.0,0.9,0.9,3.0,2.4,2.7
Andaman and Nicobar Islands,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0
Andhra Pradesh,0.9,0.6,0.8,0.4,0.7,0.6,0.6,0.8,0.7
Arunachal Pradesh,4.1,3.7,3.9,3.6,3.1,3.3,1.6,1.3,1.5
Assam,0.4,0.4,0.4,0.4,0.4,0.4,0.7,0.6,0.6
Bihar,0.4,0.4,0.4,0.2,0.2,0.2,0.2,0.2,0.2
Chandigarh,0.0,0.0,0.0,0.0,0.1,0.1,1.4,0.9,1.1
Chhattisgarh,1.7,1.6,1.7,1.2,1.2,1.2,9.1,6.2,7.6
Dadra and Nagar Haveli and Daman and Diu,0.0,0.0,0.0,0.3,0.3,0.3,4.6,2.2,3.5
Delhi,0.0,0.0,0.0,0.1,0.1,0.1,1.1,1.1,1.1
Goa,0.1,0.1,0.1,0.2,0.1,0.2,2.2,1.0,1.6
Gujarat,0.0,0.7,0.1,0.7,0.7,0.7,2.2,1.5,1.9
Haryana,0.8,0.8,0.8,0.4,0.4,0.4,2.5,2.0,2.3
Himachal Pradesh,0.3,0.3,0.3,0.1,0.2,0.1,1.3,0.9,1.1
Jammu and Kashmir,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1
Jharkhand,4.8,4.4,4.6,4.6,4.2,4.4,5.5,5.3,5.4
Karnataka,0.8,0.5,0.6,0.3,0.3,0.3,0.7,0.5,0.6
Kerala,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1
Ladakh,0.3,0.1,0.2,0.3,0.3,0.3,0.4,0.3,0.4
Lakshadweep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Madhya Pradesh,2.3,2.2,2.2,1.9,1.7,1.8,7.7,6.8,7.3
Maharashtra,0.6,0.5,0.6,0.5,0.5,0.5,0.8,0.7,0.8
Manipur,0.2,0.2,0.2,0.0,0.0,0.0,0.1,0.1,0.1
Meghalaya,4.2,3.2,3.7,4.6,3.6,4.1,6.8,6.2,6.4
Mizoram,0.5,0.6,0.5,0.4,0.4,0.4,1.4,1.4,1.4
Nagaland,2.5,1.9,2.2,4.2,3.0,3.6,5.9,5.1,5.5
Odisha,0.0,0.2,0.1,0.1,0.1,0.1,0.2,0.1,0.1
Puducherry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Punjab,0.6,0.5,0.5,0.5,0.4,0.4,0.8,0.5,0.7
Rajasthan,2.7,2.8,2.7,1.0,0.9,0.9,5.1,3.9,4.6
Sikkim,0.5,0.4,0.5,0.4,0.2,0.3,1.3,0.9,1.1
Tamil Nadu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Telangana,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Tripura,0.7,0.7,0.7,0.4,0.3,0.4,1.6,1.4,1.5
Uttar Pradesh,1.3,1.2,1.3,1.3,1.3,1.3,2.9,2.7,2.8
Uttarakhand,0.4,0.4,0.4,0.3,0.3,0.3,4.7,3.2,4.0
West Bengal,3.0,3.0,3.0,2.4,2.0,2.2,14.0,9.3,11.6
