India/State /UT,Number of teachers by Gender and Classes Taught – All Types of Management,,,,,,,,,,,
"",Total,Pre-Primary Only,Pre-Primary & Primary,Primary Only,,,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,4520047,4963247,9483294,3923,88672,92595,172629,210075,382704,1488916,1967155,3456071
Andaman & Nicobar Islands,1897,3788,5685,91,365,456,27,139,166,529,1235,1764
Andhra Pradesh,155161,168060,323221,225,2145,2370,2729,11484,14213,47427,63220,110647
Arunachal Pradesh,11958,11796,23754,13,150,163,133,373,506,4348,4874,9222
Assam,202950,148577,351527,170,833,1003,4618,5115,9733,77917,61581,139498
Bihar,344588,238435,583023,247,1112,1359,970,2178,3148,109264,99274,208538
Chandigarh,1844,7805,9649,3,491,494,10,145,155,512,2137,2649
Chhattisgarh,134820,130535,265355,73,2541,2614,670,3906,4576,56287,53611,109898
"Dadra & Nagar Haveli andDaman & Diu",1534,3011,4545,7,230,237,1,45,46,518,1158,1676
Delhi,42031,114007,156038,98,7709,7807,0,0,0,9998,42199,52197
Goa,2720,11654,14374,0,485,485,12,103,115,344,3913,4257
Gujarat,172683,211771,384454,71,2258,2329,417,3210,3627,62317,97641,159958
Haryana,87237,152019,239256,16,2428,2444,67,1261,1328,27469,57701,85170
Himachal Pradesh,48144,53549,101693,27,1048,1075,907,1676,2583,11920,14829,26749
Jammu & Kashmir,85601,80626,166227,284,3029,3313,3925,5493,9418,28643,31327,59970
Jharkhand,125057,83543,208600,99,1103,1202,983,2221,3204,53616,37546,91162
Karnataka,176444,262622,439066,48,4220,4268,212,3213,3425,32588,76529,109117
Kerala,54971,221335,276306,107,12045,12152,19,549,568,13437,74308,87745
Ladakh,2983,3222,6205,10,144,154,217,274,491,440,876,1316
Lakshadweep,378,437,815,3,33,36,1,3,4,109,156,265
Madhya Pradesh,302854,294112,596966,440,6232,6672,2833,11341,14174,128846,113339,242185
Maharashtra,373790,368526,742316,82,3431,3513,452,2755,3207,138377,171332,309709
Manipur,18223,22221,40444,26,423,449,395,1374,1769,6476,9271,15747
Meghalaya,22746,32556,55302,63,478,541,1077,2607,3684,8296,13394,21690
Mizoram,11713,11006,22719,11,103,114,58,131,189,3158,4131,7289
Nagaland,13810,18240,32050,28,433,461,482,1017,1499,4993,7064,12057
Odisha,176696,157744,334440,40,682,722,203,1273,1476,54962,62354,117316
Puducherry,3063,9705,12768,0,691,691,15,205,220,537,3386,3923
Punjab,64681,199019,263700,417,7839,8256,3997,12743,16740,14739,57225,71964
Rajasthan,428391,291271,719662,422,5207,5629,2954,8067,11021,114574,101655,216229
Sikkim,5818,9483,15301,43,691,734,50,235,285,2438,4131,6569
Tamil Nadu,141654,423198,564852,157,7933,8090,125,4306,4431,28918,165193,194111
Telangana,119023,184985,304008,126,4648,4774,1626,6914,8540,30563,63624,94187
Tripura,24301,13460,37761,35,91,126,195,332,527,10559,5160,15719
Uttar Pradesh,779806,696701,1476507,240,5122,5362,1449,5707,7156,358867,390721,749588
Uttarakhand,55798,70532,126330,32,1315,1347,210,1522,1732,16633,30250,46883
West Bengal,324679,253696,578375,169,984,1153,140590,108158,248748,28297,40810,69107
