India/State/ UT,Enrolment – All Types of Management,,,,,,,,,,,
"",Pre-Primary,Primary (1 to 5),Upper Primary (6-8),Elementary (1-8),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,5463242,4704570,10167812,58656287,53765011,112421298,32890656,30587204,63477860,91546943,84352215,175899158
Andaman and Nicobar Islands,4532,4467,8999,13041,12285,25326,8920,8302,17222,21961,20587,42548
Andhra Pradesh,238379,204293,442672,1882351,1731279,3613630,1167312,1063384,2230696,3049663,2794663,5844326
Arunachal Pradesh,10669,9968,20637,74280,72164,146444,38815,41026,79841,113095,113190,226285
Assam,198514,183882,382396,1741982,1687346,3429328,871203,933091,1804294,2613185,2620437,5233622
Bihar,244071,151306,395377,6567355,6109992,12677347,3182243,3163270,6345513,9749598,9273262,19022860
Chandigarh,12766,11897,24663,49814,44538,94352,34136,29354,63490,83950,73892,157842
Chhattisgarh,157884,140505,298389,1296717,1239422,2536139,737803,719592,1457395,2034520,1959014,3993534
"Dadra and Nagar Haveli andDaman and Diu",4409,3809,8218,32212,29037,61249,19354,17052,36406,51566,46089,97655
Delhi,151815,143241,295056,934322,820610,1754932,620740,545910,1166650,1555062,1366520,2921582
Goa,15983,14904,30887,62435,57986,120421,36875,34374,71249,99310,92360,191670
Gujarat,60139,48243,108382,2882785,2551162,5433947,1678428,1464313,3142741,4561213,4015475,8576688
Haryana,102617,83110,185727,1314545,1087487,2402032,819280,662283,1481563,2133825,1749770,3883595
Himachal Pradesh,64975,57622,122597,279761,255089,534850,174998,159053,334051,454759,414142,868901
Jammu and Kashmir,191500,175444,366944,551886,504730,1056616,297676,270844,568520,849562,775574,1625136
Jharkhand,158274,122095,280369,1782096,1650375,3432471,977482,950287,1927769,2759578,2600662,5360240
Karnataka,202078,173980,376058,2822338,2620000,5442338,1661203,1543284,3204487,4483541,4163284,8646825
Kerala,262127,250286,512413,1193956,1137929,2331885,753597,722995,1476592,1947553,1860924,3808477
Ladakh,5538,5066,10604,11559,11003,22562,5914,6117,12031,17473,17120,34593
Lakshadweep,612,575,1187,2685,2518,5203,1457,1413,2870,4142,3931,8073
Madhya Pradesh,414272,340080,754352,3536039,3238279,6774318,2097995,1927762,4025757,5634034,5166041,10800075
Maharashtra,133065,120631,253696,4726165,4331243,9057408,2954490,2590866,5545356,7680655,6922109,14602764
Manipur,29931,27371,57302,150986,142867,293853,71890,70234,142124,222876,213101,435977
Meghalaya,95677,90911,186588,248302,240581,488883,107508,122697,230205,355810,363278,719088
Mizoram,18628,18271,36899,64382,60866,125248,33528,32851,66379,97910,93717,191627
Nagaland,37358,34882,72240,83900,79423,163323,45392,45774,91166,129292,125197,254489
Odisha,21469,16785,38254,1786426,1667966,3454392,1077095,1012661,2089756,2863521,2680627,5544148
Puducherry,14580,13563,28143,45634,42576,88210,30591,28695,59286,76225,71271,147496
Punjab,412366,361151,773517,1198751,1032441,2231192,718426,616487,1334913,1917177,1648928,3566105
Rajasthan,514245,401570,915815,4248841,3802081,8050922,2267644,1998991,4266635,6516485,5801072,12317557
Sikkim,10140,9205,19345,22814,20602,43416,14093,13487,27580,36907,34089,70996
Tamil Nadu,565905,505169,1071074,2517276,2348298,4865574,1621336,1520126,3141462,4138612,3868424,8007036
Telangana,178642,153176,331818,1528802,1399876,2928678,916893,856405,1773298,2445695,2256281,4701976
Tripura,16336,14694,31030,154393,148859,303252,86563,86267,172830,240956,235126,476082
Uttar Pradesh,324794,245490,570284,10608088,9572051,20180139,5260223,4906172,10166395,15868311,14478223,30346534
Uttarakhand,54843,45058,99901,525782,462316,988098,302627,269836,572463,828409,732152,1560561
West Bengal,534109,521870,1055979,3713586,3549734,7263320,2196926,2151949,4348875,5910512,5701683,11612195
