India/State /UT,Number of Teachers in Government Aided Schools,,,,,,,,,,
"",Total,Primary,Upper Primary,Secondary,Higher Secondary,,,,,,
"",,(1 to 5),(1-8),(6-8),(1-10),(6-10),(9-10),(1-12),(6-12),(9-12),(11-12)
(1),(2),(3),(4),(5),( 6),(7),( 8),( 9),(10),( 11),( 12)
India,789634,81175,104156,39579,86873,58031,46028,138850,144874,55526,34542
Andaman & Nicobar Islands,80,0,0,0,0,0,0,80,0,0,0
Andhra Pradesh,5405,1465,565,0,66,2102,0,0,24,0,1183
Arunachal Pradesh,1065,79,268,0,375,0,0,343,0,0,0
Assam,24173,4,50,14416,96,1518,5532,111,188,73,2185
Bihar,3353,65,1218,72,351,378,390,39,276,405,159
Chandigarh,294,0,0,0,0,0,0,226,68,0,0
Chhattisgarh,2505,633,267,280,125,4,5,393,500,298,0
"Dadra & Nagar Haveli andDaman & Diu",216,0,0,0,88,0,0,0,128,0,0
Delhi,4730,211,125,47,165,206,0,2618,1337,21,0
Goa,9165,678,203,25,4063,2239,5,28,0,0,1924
Gujarat,46099,393,1261,1183,5,63,5667,193,1168,35948,218
Haryana,113,8,0,0,0,0,0,98,7,0,0
Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,13,0,0,0,13,0,0,0,0,0,0
Jharkhand,5915,1087,2948,33,148,1186,56,94,176,33,154
Karnataka,41448,493,11809,70,1031,473,20457,209,111,1926,4869
Kerala,118120,24240,28457,5605,2399,6471,1332,6375,30237,12934,70
Ladakh,61,42,10,0,9,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,4310,522,722,104,83,17,85,1108,967,702,0
Maharashtra,281024,19567,39592,0,74365,18790,93,105445,8646,160,14366
Manipur,2573,1044,394,117,475,352,68,35,0,0,88
Meghalaya,17645,6524,93,4214,102,1720,2974,203,529,648,638
Mizoram,1847,0,0,546,0,0,976,0,0,0,325
Nagaland,0,0,0,0,0,0,0,0,0,0,0
Odisha,32603,809,407,2379,284,12431,8160,0,7,0,8126
Puducherry,891,21,11,0,322,0,0,537,0,0,0
Punjab,4776,164,149,8,314,111,2,3048,980,0,0
Rajasthan,0,0,0,0,0,0,0,0,0,0,0
Sikkim,245,16,11,0,16,16,0,157,29,0,0
Tamil Nadu,78216,21331,12679,114,375,5237,0,3218,35143,119,0
Telangana,3229,941,405,0,525,1149,0,0,0,0,209
Tripura,1097,18,5,0,59,0,0,757,258,0,0
Uttar Pradesh,92144,543,2453,9687,1001,3256,167,12533,60455,2033,16
Uttarakhand,5262,43,45,679,3,293,59,646,3256,226,12
West Bengal,1017,234,9,0,15,19,0,356,384,0,0
