India/State/ UT,Total Schools,Schools with Kitchen Garden facility available,"Percentage of Schools with Kitchen Garden facilityavailable",,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1466109,1016010,81486,323430,45183,515323,395107,34301,78976,6939,35.1,38.9,42.1,24.4,15.4
Andaman & Nicobar Islands,414,342,2,70,0,351,317,1,33,0,84.8,92.7,50,47.1,0
Andhra Pradesh,61680,45167,1202,15127,184,52049,40824,1084,10013,128,84.4,90.4,90.2,66.2,69.6
Arunachal Pradesh,3543,2922,71,503,47,793,503,42,233,15,22.4,17.2,59.2,46.3,31.9
Assam,58876,44925,3386,5677,4888,33959,31408,765,1056,730,57.7,69.9,22.6,18.6,14.9
Bihar,91447,75550,724,8053,7120,17413,14068,122,1890,1333,19,18.6,16.9,23.5,18.7
Chandigarh,230,119,7,77,27,181,114,5,54,8,78.7,95.8,71.4,70.1,29.6
Chhattisgarh,56333,48728,415,6931,259,30071,27751,248,1995,77,53.4,57,59.8,28.8,29.7
"Dadra & Nagar Haveli andDaman & Diu",459,387,8,63,1,365,339,6,20,0,79.5,87.6,75,31.7,0
Delhi,5488,2673,245,2570,0,2278,1254,68,956,0,41.5,46.9,27.8,37.2,0
Goa,1504,806,558,140,0,1053,754,253,46,0,70,93.5,45.3,32.9,0
Gujarat,53603,34651,5562,13387,3,25261,22253,785,2223,0,47.1,64.2,14.1,16.6,0
Haryana,23561,14443,6,8315,797,8599,6261,1,2175,162,36.5,43.3,16.7,26.2,20.3
Himachal Pradesh,18062,15447,0,2613,2,6531,5870,0,661,0,36.2,38,0,25.3,0
Jammu & Kashmir,24278,18785,1,5407,85,4690,3441,1,1228,20,19.3,18.3,100,22.7,23.5
Jharkhand,44596,35764,1149,1583,6100,9288,7269,341,469,1209,20.8,20.3,29.7,29.6,19.8
Karnataka,76090,49520,7029,19531,10,24777,16425,2916,5434,2,32.6,33.2,41.5,27.8,20
Kerala,15934,4811,7178,3095,850,11353,3739,5527,1704,383,71.3,77.7,77,55.1,45.1
Ladakh,979,841,27,111,0,173,140,5,28,0,17.7,16.6,18.5,25.2,0
Lakshadweep,37,37,0,0,0,35,35,0,0,0,94.6,94.6,0,0,0
Madhya Pradesh,122937,92741,615,28047,1534,22284,17616,95,4414,159,18.1,19,15.4,15.7,10.4
Maharashtra,108451,65431,23964,18723,333,45209,29869,10395,4861,84,41.7,45.6,43.4,26,25.2
Manipur,4627,2922,583,996,126,1763,1034,209,495,25,38.1,35.4,35.8,49.7,19.8
Meghalaya,14588,7778,4173,2121,516,1947,1141,581,174,51,13.3,14.7,13.9,8.2,9.9
Mizoram,3891,2567,230,1023,71,1444,1266,32,138,8,37.1,49.3,13.9,13.5,11.3
Nagaland,2717,1954,0,762,1,1148,860,0,288,0,42.3,44,0,37.8,0
Odisha,61891,48767,5920,6062,1142,55241,46271,4549,3782,639,89.3,94.9,76.8,62.4,56
Puducherry,729,422,33,274,0,181,110,2,69,0,24.8,26.1,6.1,25.2,0
Punjab,27592,19245,447,7886,14,21046,16896,335,3809,6,76.3,87.8,74.9,48.3,42.9
Rajasthan,106670,69538,0,34497,2635,29142,22369,0,6478,295,27.3,32.2,0,18.8,11.2
Sikkim,1250,864,18,368,0,564,474,9,81,0,45.1,54.9,50,22,0
Tamil Nadu,58150,37658,8279,11969,244,22354,11286,3866,7153,49,38.4,30,46.7,59.8,20.1
Telangana,42476,29997,670,11707,102,4632,3787,47,793,5,10.9,12.6,7,6.8,4.9
Tripura,4912,4245,43,367,257,1372,1246,11,90,25,27.9,29.4,25.6,24.5,9.7
Uttar Pradesh,251094,137003,8249,92348,13494,51775,35988,1575,13075,1137,20.6,26.3,19.1,14.2,8.4
Uttarakhand,22618,16381,613,5140,484,16031,13253,419,2213,146,70.9,80.9,68.4,43.1,30.2
West Bengal,94402,82579,79,7887,3857,9970,8876,6,845,243,10.6,10.7,7.6,10.7,6.3
