India/State/ UT,Enrolment – Others,,,,,,,,,,,
"",Pre-Primary,Primary (1 to 5),Upper Primary (6-8),Elementary (1-8),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,246279,176180,422459,1670351,1384579,3054930,590148,559763,1149911,2260499,1944342,4204841
Andaman and Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,536,476,1012,5060,4805,9865,1941,2501,4442,7001,7306,14307
Arunachal Pradesh,499,459,958,1718,1367,3085,329,258,587,2047,1625,3672
Assam,5562,5380,10942,75480,70883,146363,8795,9319,18114,84275,80202,164477
Bihar,92262,56177,148439,442896,329309,772205,148992,138401,287393,591888,467710,1059598
Chandigarh,1561,1117,2678,1784,1315,3099,387,235,622,2171,1550,3721
Chhattisgarh,0,0,0,4162,3100,7262,1367,1054,2421,5529,4154,9683
"Dadra and Nagar Haveli andDaman and Diu",0,0,0,133,0,133,15,0,15,148,0,148
Delhi,0,0,0,0,0,0,0,0,0,0,0,0
Goa,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,0,0,0,213,259,472,150,159,309,363,418,781
Haryana,6196,5066,11262,32904,23714,56618,10886,7506,18392,43790,31220,75010
Himachal Pradesh,0,0,0,25,20,45,0,0,0,25,20,45
Jammu and Kashmir,664,643,1307,2196,1713,3909,851,649,1500,3047,2362,5409
Jharkhand,92649,66182,158831,262096,181680,443776,122333,87694,210027,384429,269374,653803
Karnataka,32,32,64,251,156,407,90,62,152,341,218,559
Kerala,12069,10710,22779,28347,25305,53652,5089,4532,9621,33436,29837,63273
Ladakh,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,108,94,202,22263,20839,43102,10333,9690,20023,32596,30529,63125
Maharashtra,640,564,1204,15388,13070,28458,3873,2801,6674,19261,15871,35132
Manipur,1412,1261,2673,4018,3747,7765,606,588,1194,4624,4335,8959
Meghalaya,4376,4080,8456,8368,8335,16703,1884,2385,4269,10252,10720,20972
Mizoram,539,556,1095,1518,1407,2925,592,590,1182,2110,1997,4107
Nagaland,22,19,41,25,22,47,0,0,0,25,22,47
Odisha,1959,1482,3441,32298,23892,56190,8843,6007,14850,41141,29899,71040
Puducherry,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,96,88,184,361,233,594,48,64,112,409,297,706
Rajasthan,1198,1153,2351,63438,58467,121905,9726,9675,19401,73164,68142,141306
Sikkim,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,5135,4296,9431,8148,6766,14914,1204,973,2177,9352,7739,17091
Telangana,46,34,80,1261,1281,2542,636,856,1492,1897,2137,4034
Tripura,1256,1139,2395,5962,4550,10512,664,187,851,6626,4737,11363
Uttar Pradesh,4153,3593,7746,522808,482800,1005608,122896,143294,266190,645704,626094,1271798
Uttarakhand,268,256,524,22112,18615,40727,6754,6691,13445,28866,25306,54172
West Bengal,13041,11323,24364,105118,96929,202047,120864,123592,244456,225982,220521,446503
