India/ State/ UT,"Number of Government Schools withUpper Primary, Secondary and HigherSecondary sections having","Number of Government Aided Schools withUpper Primary, Secondary and HigherSecondary sections having","Percentage of Government Schoolswith Upper Primary, Secondary andHigher Secondary sections having","Percentage of Government AidedSchools with Upper Primary, Secondaryand Higher Secondary sections having",,,,,,
"",Total,ICT labs,"FunctionalICT Labs",Total,ICT labs,"FunctionalICT Labs",ICT labs,"Functional ICTLabs",ICT labs,"Functional ICTLabs"
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11)
India,389545,75951,62258,64270,18974,14869,19.5,16,29.5,23.1
Andaman & Nicobar Islands,157,133,131,2,0,0,84.7,83.4,0,0
Andhra Pradesh,11285,2462,1838,574,137,118,21.8,16.3,23.9,20.6
Arunachal Pradesh,1312,135,101,60,15,14,10.3,7.7,25,23.3
Assam,10531,3463,2561,3385,55,22,32.9,24.3,1.6,0.6
Bihar,35043,1553,1361,687,12,12,4.4,3.9,1.7,1.7
Chandigarh,115,114,112,7,7,7,99.1,97.4,100,100
Chhattisgarh,18038,2131,1457,212,6,6,11.8,8.1,2.8,2.8
"Dadra & Nagar Haveli andDaman & Diu",221,117,114,8,7,7,52.9,51.6,87.5,87.5
Delhi,1128,1006,949,200,141,75,89.2,84.1,70.5,37.5
Goa,133,73,70,445,292,283,54.9,52.6,65.6,63.6
Gujarat,22231,2208,1691,5499,2630,1831,9.9,7.6,47.8,33.3
Haryana,5763,2893,2280,5,1,1,50.2,39.6,20,20
Himachal Pradesh,4889,2196,2100,0,0,0,44.9,43,0,0
Jammu & Kashmir,9818,2513,2161,1,0,0,25.6,22,0,0
Jharkhand,14520,2277,1980,676,33,31,15.7,13.6,4.9,4.6
Karnataka,28644,3986,2252,6844,1146,288,13.9,7.9,16.7,4.2
Kerala,2418,2168,2064,3807,3509,3357,89.7,85.4,92.2,88.2
Ladakh,507,147,134,4,0,0,29,26.4,0,0
Lakshadweep,22,11,11,0,0,0,50,50,0,0
Madhya Pradesh,34210,480,425,401,5,2,1.4,1.2,1.2,0.5
Maharashtra,22564,1835,1381,20818,7943,6267,8.1,6.1,38.2,30.1
Manipur,980,345,284,184,14,10,35.2,29,7.6,5.4
Meghalaya,2354,141,104,1672,253,200,6,4.4,15.1,12
Mizoram,1294,148,103,230,24,10,11.4,8,10.4,4.3
Nagaland,924,131,104,0,0,0,14.2,11.3,0,0
Odisha,21713,6508,4875,5612,1869,1765,30,22.5,33.3,31.5
Puducherry,189,179,138,31,7,7,94.7,73,22.6,22.6
Punjab,6421,6167,5862,399,197,191,96,91.3,49.4,47.9
Rajasthan,36124,10963,8405,0,0,0,30.3,23.3,0,0
Sikkim,391,265,253,13,7,7,67.8,64.7,53.8,53.8
Tamil Nadu,13311,5823,5823,3287,0,0,43.7,43.7,0,0
Telangana,10269,2522,850,397,3,2,24.6,8.3,0.8,0.5
Tripura,2134,576,554,35,6,6,27,26,17.1,17.1
Uttar Pradesh,49258,741,548,8128,617,317,1.5,1.1,7.6,3.9
Uttarakhand,4960,951,881,604,34,29,19.2,17.8,5.6,4.8
West Bengal,15674,8590,8301,43,4,4,54.8,53,9.3,9.3
