India/State/ UT,Total Schools having Secondary Sections,"Schools with Secondary Sections having IntegratedScience Lab facility available","Percentage of Schools with Secondary Sections havingIntegrated Science Lab facility available",,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,279490,116968,41080,116396,5046,156088,58624,25792,70770,902,55.8,50.1,62.8,60.8,17.9
Andaman & Nicobar Islands,122,100,2,20,0,97,78,1,18,0,79.5,78,50,90,0
Andhra Pradesh,12585,6800,319,5450,16,7884,3673,168,4038,5,62.6,54,52.7,74.1,31.3
Arunachal Pradesh,494,343,34,117,0,276,161,29,86,0,55.9,46.9,85.3,73.5,0
Assam,8927,4449,830,3192,456,2461,1596,8,851,6,27.6,35.9,1,26.7,1.3
Bihar,11960,9407,307,1736,510,2804,1776,51,927,50,23.4,18.9,16.6,53.4,9.8
Chandigarh,173,103,7,59,4,162,100,5,54,3,93.6,97.1,71.4,91.5,75
Chhattisgarh,7376,4892,106,2377,1,6134,4234,94,1806,0,83.2,86.5,88.7,76,0
"Dadra & Nagar Haveli andDaman & Diu",97,56,8,32,1,85,49,8,28,0,87.6,87.5,100,87.5,0
Delhi,2193,1110,178,905,0,2193,1110,178,905,0,100,100,100,100,0
Goa,439,86,324,29,0,428,83,316,29,0,97.5,96.5,97.5,100,0
Gujarat,12103,1890,5008,5202,3,5743,623,2435,2684,1,47.5,33,48.6,51.6,33.3
Haryana,8670,3455,5,5180,30,6615,2708,3,3893,11,76.3,78.4,60,75.2,36.7
Himachal Pradesh,4423,3009,0,1414,0,2387,1251,0,1136,0,54,41.6,0,80.3,0
Jammu & Kashmir,4388,2585,1,1790,12,3240,1688,1,1543,8,73.8,65.3,100,86.2,66.7
Jharkhand,4701,2847,170,1148,536,2735,1544,120,898,173,58.2,54.2,70.6,78.2,32.3
Karnataka,17926,6116,3742,8063,5,10367,2948,1848,5570,1,57.8,48.2,49.4,69.1,20
Kerala,4869,1295,1432,2057,85,3644,811,1185,1613,35,74.8,62.6,82.8,78.4,41.2
Ladakh,164,129,1,34,0,119,93,0,26,0,72.6,72.1,0,76.5,0
Lakshadweep,13,13,0,0,0,11,11,0,0,0,84.6,84.6,0,0,0
Madhya Pradesh,17852,9453,262,8135,2,11333,5028,188,6116,1,63.5,53.2,71.8,75.2,50
Maharashtra,25990,1962,15820,8164,44,20035,1439,12350,6222,24,77.1,73.3,78.1,76.2,54.5
Manipur,1162,468,90,604,0,565,136,27,402,0,48.6,29.1,30,66.6,0
Meghalaya,1666,133,676,692,165,532,58,304,143,27,31.9,43.6,45,20.7,16.4
Mizoram,718,316,137,239,26,199,167,10,18,4,27.7,52.8,7.3,7.5,15.4
Nagaland,773,315,0,458,0,301,74,0,227,0,38.9,23.5,0,49.6,0
Odisha,10136,5726,3357,965,88,7163,4817,1709,605,32,70.7,84.1,50.9,62.7,36.4
Puducherry,384,137,30,217,0,307,103,26,178,0,79.9,75.2,86.7,82,0
Punjab,9294,3872,363,5058,1,6912,3037,266,3609,0,74.4,78.4,73.3,71.4,0
Rajasthan,33270,17546,0,15682,42,9414,4156,0,5253,5,28.3,23.7,0,33.5,11.9
Sikkim,270,220,11,39,0,190,156,3,31,0,70.4,70.9,27.3,79.5,0
Tamil Nadu,14173,6302,1793,6068,10,12382,6277,1397,4699,9,87.4,99.6,77.9,77.4,90
Telangana,12804,6558,249,5994,3,5584,2068,85,3431,0,43.6,31.5,34.1,57.2,0
Tripura,1192,1016,33,136,7,388,275,13,99,1,32.6,27.1,39.4,72.8,14.3
Uttar Pradesh,33402,2751,5342,22985,2324,16603,1617,2693,12010,283,49.7,58.8,50.4,52.3,12.2
Uttarakhand,3996,2394,402,1160,40,2861,1628,253,966,14,71.6,68,62.9,83.3,35
West Bengal,10785,9114,41,995,635,3934,3051,18,656,209,36.5,33.5,43.9,65.9,32.9
