India/ State/ UT,"Allmanagement",Government,"GovernmentAided","PrivateUnaidedRecognized",Others,,,,
"",,Total,KVS,NVS,"OtherCentralGovernment","StateGovernment",,,
(1),(2),(3),(4),(5),(6),(7),(9),(10),(11)
India,925628,236111,4277,3918,2018,225898,119891,552967,16659
Andaman and Nicobar Islands,674,409,2,14,0,393,15,250,0
Andhra Pradesh,34082,7605,66,102,52,7385,886,25528,63
Arunachal Pradesh,2270,1058,45,81,6,926,172,1004,36
Assam,19868,9235,177,177,34,8847,1768,8196,669
Bihar,19826,2988,156,262,31,2539,205,13920,2713
Chandigarh,1858,613,24,9,44,536,76,1104,65
Chhattisgarh,28375,15766,85,135,108,15438,391,12208,10
"Dadra and Nagar Haveli andDaman and Diu",856,357,4,18,0,335,41,452,6
Delhi,32257,10706,449,21,0,10236,1298,20253,0
Goa,3800,367,18,16,0,333,2901,532,0
Gujarat,33051,1722,85,143,33,1461,7179,24150,0
Haryana,32428,7067,105,99,80,6783,7,24658,696
Himachal Pradesh,22606,15560,86,72,45,15357,0,7045,1
Jammu and Kashmir,24148,9084,132,124,0,8828,2,14985,77
Jharkhand,15178,3269,117,154,35,2963,413,7285,4211
Karnataka,43015,5625,96,164,86,5279,3793,33596,1
Kerala,12775,3156,83,54,45,2974,3503,5683,433
Ladakh,1099,576,5,8,0,563,5,518,0
Lakshadweep,98,98,0,0,0,98,0,0,0
Madhya Pradesh,63009,11193,361,425,93,10314,998,50510,308
Maharashtra,118763,5043,188,213,123,4519,59512,53585,623
Manipur,4315,1024,38,65,77,844,174,3035,82
Meghalaya,1772,333,24,47,0,262,762,613,64
Mizoram,380,189,7,30,10,142,58,131,2
Nagaland,2804,888,10,57,61,760,0,1912,4
Odisha,35509,8978,128,180,132,8538,10114,15018,1399
Puducherry,2029,662,8,30,0,624,154,1213,0
Punjab,36893,8095,152,174,93,7676,813,27960,25
Rajasthan,72847,26660,331,235,87,26007,0,45936,251
Sikkim,1994,1625,0,27,0,1598,76,293,0
Tamil Nadu,51361,16656,35,0,61,16560,5878,28664,163
Telangana,22592,11508,82,23,56,11347,492,10580,12
Tripura,2259,1338,36,27,0,1275,170,743,8
Uttar Pradesh,121123,11924,552,542,267,10563,16514,90033,2652
Uttarakhand,18044,5867,204,79,45,5539,1325,10735,117
West Bengal,41670,28867,386,111,314,28056,196,10639,1968
