India/State/ UT,Total Schools,Schools having functional Projector availability,"Percentage of Schools having functional Projectoravailability",,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1466109,1016010,81486,323430,45183,281714,142759,33297,101518,4140,19.2,14.1,40.9,31.4,9.2
Andaman & Nicobar Islands,414,342,2,70,0,113,82,2,29,0,27.3,24,100,41.4,0
Andhra Pradesh,61680,45167,1202,15127,184,16397,7337,185,8844,31,26.6,16.2,15.4,58.5,16.8
Arunachal Pradesh,3543,2922,71,503,47,885,635,47,195,8,25,21.7,66.2,38.8,17
Assam,58876,44925,3386,5677,4888,4404,3328,61,1004,11,7.5,7.4,1.8,17.7,0.2
Bihar,91447,75550,724,8053,7120,4700,1702,20,2113,865,5.1,2.3,2.8,26.2,12.1
Chandigarh,230,119,7,77,27,197,110,7,71,9,85.7,92.4,100,92.2,33.3
Chhattisgarh,56333,48728,415,6931,259,6296,4701,41,1552,2,11.2,9.6,9.9,22.4,0.8
"Dadra & Nagar Haveli andDaman & Diu",459,387,8,63,1,128,78,8,42,0,27.9,20.2,100,66.7,0
Delhi,5488,2673,245,2570,0,3339,1546,147,1646,0,60.8,57.8,60,64,0
Goa,1504,806,558,140,0,636,100,452,84,0,42.3,12.4,81,60,0
Gujarat,53603,34651,5562,13387,3,21720,9822,3995,7901,2,40.5,28.3,71.8,59,66.7
Haryana,23561,14443,6,8315,797,6619,2419,2,3997,201,28.1,16.7,33.3,48.1,25.2
Himachal Pradesh,18062,15447,0,2613,2,3034,1945,0,1089,0,16.8,12.6,0,41.7,0
Jammu & Kashmir,24278,18785,1,5407,85,3440,2256,0,1177,7,14.2,12,0,21.8,8.2
Jharkhand,44596,35764,1149,1583,6100,4048,2253,99,729,967,9.1,6.3,8.6,46.1,15.9
Karnataka,76090,49520,7029,19531,10,19347,8272,2309,8765,1,25.4,16.7,32.8,44.9,10
Kerala,15934,4811,7178,3095,850,13865,4529,6674,2311,351,87,94.1,93,74.7,41.3
Ladakh,979,841,27,111,0,195,134,3,58,0,19.9,15.9,11.1,52.3,0
Lakshadweep,37,37,0,0,0,32,32,0,0,0,86.5,86.5,0,0,0
Madhya Pradesh,122937,92741,615,28047,1534,9456,2492,77,6815,72,7.7,2.7,12.5,24.3,4.7
Maharashtra,108451,65431,23964,18723,333,51878,23946,15110,12656,166,47.8,36.6,63.1,67.6,49.8
Manipur,4627,2922,583,996,126,566,141,8,407,10,12.2,4.8,1.4,40.9,7.9
Meghalaya,14588,7778,4173,2121,516,818,196,336,242,44,5.6,2.5,8.1,11.4,8.5
Mizoram,3891,2567,230,1023,71,405,166,67,160,12,10.4,6.5,29.1,15.6,16.9
Nagaland,2717,1954,0,762,1,431,93,0,337,1,15.9,4.8,0,44.2,100
Odisha,61891,48767,5920,6062,1142,6183,3456,850,1684,193,10,7.1,14.4,27.8,16.9
Puducherry,729,422,33,274,0,431,217,23,191,0,59.1,51.4,69.7,69.7,0
Punjab,27592,19245,447,7886,14,21733,18022,95,3616,0,78.8,93.6,21.3,45.9,0
Rajasthan,106670,69538,0,34497,2635,14214,7476,0,6610,128,13.3,10.8,0,19.2,4.9
Sikkim,1250,864,18,368,0,467,336,7,124,0,37.4,38.9,38.9,33.7,0
Tamil Nadu,58150,37658,8279,11969,244,20464,11701,1720,6950,93,35.2,31.1,20.8,58.1,38.1
Telangana,42476,29997,670,11707,102,10718,4840,133,5742,3,25.2,16.1,19.9,49,2.9
Tripura,4912,4245,43,367,257,795,652,13,123,7,16.2,15.4,30.2,33.5,2.7
Uttar Pradesh,251094,137003,8249,92348,13494,20009,7675,673,11380,281,8,5.6,8.2,12.3,2.1
Uttarakhand,22618,16381,613,5140,484,3028,1396,106,1520,6,13.4,8.5,17.3,29.6,1.2
West Bengal,94402,82579,79,7887,3857,10723,8673,27,1354,669,11.4,10.5,34.2,17.2,17.3
