India/State /UT,Number of teachers by Gender and Classes Taught – Government Aided,,,,,,,,,,,
"",Total,Pre-Primary Only,Pre-Primary & Primary,Primary Only,,,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,431325,358309,789634,74,5694,5768,437,1166,1603,46083,96165,142248
Andaman & Nicobar Islands,17,63,80,0,2,2,0,1,1,3,16,19
Andhra Pradesh,2591,2814,5405,0,2,2,2,40,42,777,888,1665
Arunachal Pradesh,593,472,1065,0,3,3,3,10,13,92,175,267
Assam,17373,6800,24173,1,1,2,1,3,4,20,38,58
Bihar,2323,1030,3353,0,0,0,0,1,1,130,127,257
Chandigarh,48,246,294,0,3,3,0,7,7,1,41,42
Chhattisgarh,1225,1280,2505,0,4,4,1,3,4,390,477,867
"Dadra & Nagar Haveli andDaman & Diu",76,140,216,0,0,0,0,0,0,1,29,30
Delhi,1225,3505,4730,0,18,18,0,0,0,76,810,886
Goa,1889,7276,9165,0,239,239,3,30,33,127,1564,1691
Gujarat,29996,16103,46099,2,16,18,5,12,17,314,697,1011
Haryana,10,103,113,0,0,0,0,0,0,2,35,37
Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,7,6,13,0,0,0,0,0,0,1,1,2
Jharkhand,2611,3304,5915,0,13,13,24,44,68,632,1209,1841
Karnataka,27299,14149,41448,0,10,10,3,1,4,812,913,1725
Kerala,29127,88993,118120,41,5060,5101,2,74,76,7461,28762,36223
Ladakh,50,11,61,0,0,0,0,0,0,42,8,50
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,1976,2334,4310,1,9,10,0,12,12,377,575,952
Maharashtra,177836,103188,281024,13,67,80,115,153,268,24525,26808,51333
Manipur,1381,1192,2573,1,5,6,21,27,48,696,559,1255
Meghalaya,8001,9644,17645,14,143,157,206,591,797,2135,3517,5652
Mizoram,1128,719,1847,0,0,0,0,0,0,0,0,0
Nagaland,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,25528,7075,32603,0,0,0,0,1,1,654,379,1033
Puducherry,126,765,891,0,37,37,1,5,6,10,233,243
Punjab,1204,3572,4776,0,15,15,1,19,20,104,900,1004
Rajasthan,0,0,0,0,0,0,0,0,0,0,0,0
Sikkim,112,133,245,0,5,5,1,1,2,21,37,58
Tamil Nadu,22200,56016,78216,0,24,24,0,0,0,4064,24088,28152
Telangana,851,2378,3229,1,18,19,10,71,81,270,936,1206
Tripura,715,382,1097,0,0,0,0,0,0,107,63,170
Uttar Pradesh,70450,21694,92144,0,0,0,7,15,22,2184,1966,4150
Uttarakhand,3019,2243,5262,0,0,0,0,0,0,20,133,153
West Bengal,338,679,1017,0,0,0,31,45,76,35,181,216
