India/State/ UT,Total Schools,Schools with Solar Panels availability,Percentage of Schools with Solar Panels availability,,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1466109,1016010,81486,323430,45183,152352,89860,9120,48362,5010,10.4,8.8,11.2,15,11.1
Andaman & Nicobar Islands,414,342,2,70,0,15,12,0,3,0,3.6,3.5,0,4.3,0
Andhra Pradesh,61680,45167,1202,15127,184,5896,3317,137,2420,22,9.6,7.3,11.4,16,12
Arunachal Pradesh,3543,2922,71,503,47,347,240,19,83,5,9.8,8.2,26.8,16.5,10.6
Assam,58876,44925,3386,5677,4888,3594,2863,100,451,180,6.1,6.4,3,7.9,3.7
Bihar,91447,75550,724,8053,7120,9193,7054,69,1195,875,10.1,9.3,9.5,14.8,12.3
Chandigarh,230,119,7,77,27,167,97,5,62,3,72.6,81.5,71.4,80.5,11.1
Chhattisgarh,56333,48728,415,6931,259,3924,3437,40,439,8,7,7.1,9.6,6.3,3.1
"Dadra & Nagar Haveli andDaman & Diu",459,387,8,63,1,52,52,0,0,0,11.3,13.4,0,0,0
Delhi,5488,2673,245,2570,0,1639,1118,43,478,0,29.9,41.8,17.6,18.6,0
Goa,1504,806,558,140,0,53,11,28,14,0,3.5,1.4,5,10,0
Gujarat,53603,34651,5562,13387,3,4215,1981,553,1681,0,7.9,5.7,9.9,12.6,0
Haryana,23561,14443,6,8315,797,4785,2031,4,2558,192,20.3,14.1,66.7,30.8,24.1
Himachal Pradesh,18062,15447,0,2613,2,1228,911,0,317,0,6.8,5.9,0,12.1,0
Jammu & Kashmir,24278,18785,1,5407,85,4106,3281,0,808,17,16.9,17.5,0,14.9,20
Jharkhand,44596,35764,1149,1583,6100,5797,4490,119,296,892,13,12.6,10.4,18.7,14.6
Karnataka,76090,49520,7029,19531,10,10749,5782,1113,3854,0,14.1,11.7,15.8,19.7,0
Kerala,15934,4811,7178,3095,850,1879,697,549,524,109,11.8,14.5,7.6,16.9,12.8
Ladakh,979,841,27,111,0,221,175,9,37,0,22.6,20.8,33.3,33.3,0
Lakshadweep,37,37,0,0,0,1,1,0,0,0,2.7,2.7,0,0,0
Madhya Pradesh,122937,92741,615,28047,1534,7964,5284,42,2543,95,6.5,5.7,6.8,9.1,6.2
Maharashtra,108451,65431,23964,18723,333,17607,10979,3634,2957,37,16.2,16.8,15.2,15.8,11.1
Manipur,4627,2922,583,996,126,454,118,21,299,16,9.8,4,3.6,30,12.7
Meghalaya,14588,7778,4173,2121,516,543,279,140,99,25,3.7,3.6,3.4,4.7,4.8
Mizoram,3891,2567,230,1023,71,63,20,10,30,3,1.6,0.8,4.3,2.9,4.2
Nagaland,2717,1954,0,762,1,353,296,0,57,0,13,15.1,0,7.5,0
Odisha,61891,48767,5920,6062,1142,8960,7068,876,890,126,14.5,14.5,14.8,14.7,11
Puducherry,729,422,33,274,0,53,13,3,37,0,7.3,3.1,9.1,13.5,0
Punjab,27592,19245,447,7886,14,5496,4373,44,1077,2,19.9,22.7,9.8,13.7,14.3
Rajasthan,106670,69538,0,34497,2635,9548,5192,0,4191,165,9,7.5,0,12.1,6.3
Sikkim,1250,864,18,368,0,145,122,2,21,0,11.6,14.1,11.1,5.7,0
Tamil Nadu,58150,37658,8279,11969,244,1882,853,172,850,7,3.2,2.3,2.1,7.1,2.9
Telangana,42476,29997,670,11707,102,2051,1237,22,787,5,4.8,4.1,3.3,6.7,4.9
Tripura,4912,4245,43,367,257,169,122,1,34,12,3.4,2.9,2.3,9.3,4.7
Uttar Pradesh,251094,137003,8249,92348,13494,33440,11871,1308,18404,1857,13.3,8.7,15.9,19.9,13.8
Uttarakhand,22618,16381,613,5140,484,1900,1203,54,612,31,8.4,7.3,8.8,11.9,6.4
West Bengal,94402,82579,79,7887,3857,3863,3280,3,254,326,4.1,4,3.8,3.2,8.5
