India/State/ UT,Total Schools,Schools with computer facility,Percentage of Schools with computer facility,,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1466109,1016010,81486,323430,45183,700023,391666,56880,234584,16893,47.7,38.5,69.8,72.5,37.4
Andaman & Nicobar Islands,414,342,2,70,0,284,215,2,67,0,68.6,62.9,100,95.7,0
Andhra Pradesh,61680,45167,1202,15127,184,57855,41607,1067,15012,169,93.8,92.1,88.8,99.2,91.8
Arunachal Pradesh,3543,2922,71,503,47,1292,752,65,443,32,36.5,25.7,91.5,88.1,68.1
Assam,58876,44925,3386,5677,4888,10481,7248,250,2885,98,17.8,16.1,7.4,50.8,2
Bihar,91447,75550,724,8053,7120,15411,6798,97,5268,3248,16.9,9,13.4,65.4,45.6
Chandigarh,230,119,7,77,27,230,119,7,77,27,100,100,100,100,100
Chhattisgarh,56333,48728,415,6931,259,36778,31696,190,4831,61,65.3,65,45.8,69.7,23.6
"Dadra & Nagar Haveli andDaman & Diu",459,387,8,63,1,437,365,8,63,1,95.2,94.3,100,100,100
Delhi,5488,2673,245,2570,0,5463,2664,232,2567,0,99.5,99.7,94.7,99.9,0
Goa,1504,806,558,140,0,817,160,529,128,0,54.3,19.9,94.8,91.4,0
Gujarat,53603,34651,5562,13387,3,52268,33877,5489,12899,3,97.5,97.8,98.7,96.4,100
Haryana,23561,14443,6,8315,797,22475,14024,5,7820,626,95.4,97.1,83.3,94,78.5
Himachal Pradesh,18062,15447,0,2613,2,7340,4945,0,2395,0,40.6,32,0,91.7,0
Jammu & Kashmir,24278,18785,1,5407,85,9442,5221,1,4168,52,38.9,27.8,100,77.1,61.2
Jharkhand,44596,35764,1149,1583,6100,31524,25684,386,1400,4054,70.7,71.8,33.6,88.4,66.5
Karnataka,76090,49520,7029,19531,10,37471,16851,4732,15882,6,49.2,34,67.3,81.3,60
Kerala,15934,4811,7178,3095,850,15821,4787,7166,3064,804,99.3,99.5,99.8,99,94.6
Ladakh,979,841,27,111,0,458,351,9,98,0,46.8,41.7,33.3,88.3,0
Lakshadweep,37,37,0,0,0,37,37,0,0,0,100,100,0,0,0
Madhya Pradesh,122937,92741,615,28047,1534,33686,12132,274,20827,453,27.4,13.1,44.6,74.3,29.5
Maharashtra,108451,65431,23964,18723,333,86020,45664,22104,17938,314,79.3,69.8,92.2,95.8,94.3
Manipur,4627,2922,583,996,126,1491,527,40,854,70,32.2,18,6.9,85.7,55.6
Meghalaya,14588,7778,4173,2121,516,2478,787,919,633,139,17,10.1,22,29.8,26.9
Mizoram,3891,2567,230,1023,71,1532,802,148,543,39,39.4,31.2,64.3,53.1,54.9
Nagaland,2717,1954,0,762,1,1629,956,0,672,1,60,48.9,0,88.2,100
Odisha,61891,48767,5920,6062,1142,21296,12620,3374,4615,687,34.4,25.9,57,76.1,60.2
Puducherry,729,422,33,274,0,729,422,33,274,0,100,100,100,100,0
Punjab,27592,19245,447,7886,14,27157,19149,408,7591,9,98.4,99.5,91.3,96.3,64.3
Rajasthan,106670,69538,0,34497,2635,51900,24734,0,26426,740,48.7,35.6,0,76.6,28.1
Sikkim,1250,864,18,368,0,1130,776,12,342,0,90.4,89.8,66.7,92.9,0
Tamil Nadu,58150,37658,8279,11969,244,42869,27146,4405,11115,203,73.7,72.1,53.2,92.9,83.2
Telangana,42476,29997,670,11707,102,18449,8396,247,9787,19,43.4,28,36.9,83.6,18.6
Tripura,4912,4245,43,367,257,1811,1454,31,283,43,36.9,34.3,72.1,77.1,16.7
Uttar Pradesh,251094,137003,8249,92348,13494,67319,14285,4128,45761,3145,26.8,10.4,50,49.6,23.3
Uttarakhand,22618,16381,613,5140,484,15366,10343,464,4335,224,67.9,63.1,75.7,84.3,46.3
West Bengal,94402,82579,79,7887,3857,19277,14072,58,3521,1626,20.4,17,73.4,44.6,42.2
