India/State/ UT,"Allmanagement",Government,"GovernmentAided","PrivateUnaidedRecognized",Others,,,,
"",,Total,KVS,NVS,"Other CentralGovernment","StateGovernment",,,
(1),(2),(3),(4),(5),(6),(7),(9),(10),(11)
India,35.1,38.9,37.3,72.4,35.7,38.9,42.1,24.4,15.4
Andaman & Nicobar Islands,84.8,92.7,0,100,0,93.2,50,47.1,0
Andhra Pradesh,84.4,90.4,91.4,100,100,90.4,90.2,66.2,69.6
Arunachal Pradesh,22.4,17.2,21.1,52.9,0,17,59.2,46.3,31.9
Assam,57.7,69.9,25.9,70.4,11.1,70,22.6,18.6,14.9
Bihar,19,18.6,22.4,61.5,16.7,18.6,16.9,23.5,18.7
Chandigarh,78.7,95.8,50,100,100,97.3,71.4,70.1,29.6
Chhattisgarh,53.4,57,50,75,83.3,56.9,59.8,28.8,29.7
"Dadra & Nagar Haveli andDaman & Diu",79.5,87.6,0,33.3,0,88.5,75,31.7,0
Delhi,41.5,46.9,58.7,100,0,46.7,27.8,37.2,0
Goa,70,93.5,60,0,0,94,45.3,32.9,0
Gujarat,47.1,64.2,33.3,55.9,60,64.3,14.1,16.6,0
Haryana,36.5,43.3,45.7,76.2,100,43.3,16.7,26.2,20.3
Himachal Pradesh,36.2,38,15.4,66.7,75,38,0,25.3,0
Jammu & Kashmir,19.3,18.3,22.2,65,0,18.3,100,22.7,23.5
Jharkhand,20.8,20.3,29.3,69.2,8.3,20.3,29.7,29.6,19.8
Karnataka,32.6,33.2,32.7,80.6,53.3,33.1,41.5,27.8,20
Kerala,71.3,77.7,47.4,71.4,50,78,77,55.1,45.1
Ladakh,17.7,16.6,66.7,0,100,16.4,18.5,25.2,0
Lakshadweep,94.6,94.6,0,100,0,97.1,0,0,0
Madhya Pradesh,18.1,19,32.1,81.5,23.1,18.9,15.4,15.7,10.4
Maharashtra,41.7,45.6,32.2,88.2,28.6,45.6,43.4,26,25.2
Manipur,38.1,35.4,44.4,90.9,50,35.1,35.8,49.7,19.8
Meghalaya,13.3,14.7,0,41.7,0,14.6,13.9,8.2,9.9
Mizoram,37.1,49.3,25,28.6,0,49.4,13.9,13.5,11.3
Nagaland,42.3,44,16.7,63.6,0,44,0,37.8,0
Odisha,89.3,94.9,37.9,93.5,33.3,95,76.8,62.4,56
Puducherry,24.8,26.1,25,75,0,25.6,6.1,25.2,0
Punjab,76.3,87.8,76.9,91.3,60,87.8,74.9,48.3,42.9
Rajasthan,27.3,32.2,35.1,80,37.5,32.1,0,18.8,11.2
Sikkim,45.1,54.9,0,25,100,55.1,50,22,0
Tamil Nadu,38.4,30,13.3,0,10.5,30,46.7,59.8,20.1
Telangana,10.9,12.6,14.3,55.6,22.2,12.6,7,6.8,4.9
Tripura,27.9,29.4,40,37.5,0,29.3,25.6,24.5,9.7
Uttar Pradesh,20.6,26.3,43.4,73.7,33.3,26.2,19.1,14.2,8.4
Uttarakhand,70.9,80.9,51.1,69.2,85.7,81,68.4,43.1,30.2
West Bengal,10.6,10.7,27.9,61.1,12.2,10.7,7.6,10.7,6.3
