India/ State/ UT,"Allmanagement",Government,"GovernmentAided","PrivateUnaidedRecognized",Others,,,,
"",,Total,KVS,NVS,"Other CentralGovernment","StateGovernment",,,
(1),(2),(3),(4),(5),(6),(7),(9),(10),(11)
India,1466109,1016010,1249,648,258,1013855,81486,323430,45183
Andaman & Nicobar Islands,414,342,2,3,0,337,2,70,0
Andhra Pradesh,61680,45167,35,15,8,45109,1202,15127,184
Arunachal Pradesh,3543,2922,19,17,3,2883,71,503,47
Assam,58876,44925,58,27,9,44831,3386,5677,4888
Bihar,91447,75550,49,39,6,75456,724,8053,7120
Chandigarh,230,119,4,1,2,112,7,77,27
Chhattisgarh,56333,48728,36,28,6,48658,415,6931,259
"Dadra & Nagar Haveli andDaman & Diu",459,387,2,3,0,382,8,63,1
Delhi,5488,2673,46,2,0,2625,245,2570,0
Goa,1504,806,5,2,0,799,558,140,0
Gujarat,53603,34651,45,34,5,34567,5562,13387,3
Haryana,23561,14443,35,21,4,14383,6,8315,797
Himachal Pradesh,18062,15447,26,12,8,15401,0,2613,2
Jammu & Kashmir,24278,18785,36,20,0,18729,1,5407,85
Jharkhand,44596,35764,41,26,12,35685,1149,1583,6100
Karnataka,76090,49520,52,31,15,49422,7029,19531,10
Kerala,15934,4811,38,14,2,4757,7178,3095,850
Ladakh,979,841,3,2,1,835,27,111,0
Lakshadweep,37,37,1,1,0,35,0,0,0
Madhya Pradesh,122937,92741,112,54,13,92562,615,28047,1534
Maharashtra,108451,65431,59,34,21,65317,23964,18723,333
Manipur,4627,2922,9,11,12,2890,583,996,126
Meghalaya,14588,7778,7,12,0,7759,4173,2121,516
Mizoram,3891,2567,4,7,1,2555,230,1023,71
Nagaland,2717,1954,6,11,2,1935,0,762,1
Odisha,61891,48767,66,31,12,48658,5920,6062,1142
Puducherry,729,422,4,4,0,414,33,274,0
Punjab,27592,19245,52,23,10,19160,447,7886,14
Rajasthan,106670,69538,77,35,8,69418,0,34497,2635
Sikkim,1250,864,2,4,1,857,18,368,0
Tamil Nadu,58150,37658,45,0,19,37594,8279,11969,244
Telangana,42476,29997,35,9,9,29944,670,11707,102
Tripura,4912,4245,10,8,0,4227,43,367,257
Uttar Pradesh,251094,137003,122,76,21,136784,8249,92348,13494
Uttarakhand,22618,16381,45,13,7,16316,613,5140,484
West Bengal,94402,82579,61,18,41,82459,79,7887,3857
