India/State/UT,Total Schools,"Number of Books available inLibrary/Book Bank/ReadingCorner","Number of Books available inLibrary/Book Bank/ReadingCorner per School"
India,1466109,1119431472,763
Andaman & Nicobar Islands,414,1683329,4066
Andhra Pradesh,61680,72858997,1181
Arunachal Pradesh,3543,1274747,359
Assam,58876,29558309,502
Bihar,91447,26539839,290
Chandigarh,230,1901582,8267
Chhattisgarh,56333,30486936,541
Dadra & Nagar Haveli and Daman & Diu,459,760875,1657
Delhi,5488,32367715,5897
Goa,1504,4161556,2766
Gujarat,53603,61246360,1142
Haryana,23561,49150025,2086
Himachal Pradesh,18062,16108945,891
Jammu & Kashmir,24278,10082821,415
Jharkhand,44596,25221212,565
Karnataka,76090,120752265,1586
Kerala,15934,42888614,2691
Ladakh,979,505217,516
Lakshadweep,37,119944,3241
Madhya Pradesh,122937,51253015,416
Maharashtra,108451,124508845,1148
Manipur,4627,1484635,320
Meghalaya,14588,1513214,103
Mizoram,3891,656645,168
Nagaland,2717,1164266,428
Odisha,61891,68165895,1101
Puducherry,729,2485630,3409
Punjab,27592,41662140,1509
Rajasthan,106670,67515093,632
Sikkim,1250,550520,440
Tamil Nadu,58150,33388922,574
Telangana,42476,21659282,509
Tripura,4912,1575412,320
Uttar Pradesh,251094,114104142,454
Uttarakhand,22618,16815106,743
West Bengal,94402,43259422,458
