India/State /UT,Number of teachers by Gender and Classes Taught – All Types of Management,,,,,,,,
"",Secondary Only,Secondary & Higher Secondary,Higher Secondary Only,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(23),(24),(25),(26),(27),(28),(29),(30),(31)
India,557193,485717,1042910,250543,181016,431559,356779,289277,646056
Andaman & Nicobar Islands,162,292,454,144,200,344,282,334,616
Andhra Pradesh,15814,13508,29322,1179,1483,2662,18284,10268,28552
Arunachal Pradesh,1158,992,2150,520,301,821,563,390,953
Assam,25404,14865,40269,4629,4021,8650,10464,8345,18809
Bihar,31979,11211,43190,9603,3193,12796,13806,4740,18546
Chandigarh,118,511,629,145,558,703,200,737,937
Chhattisgarh,10040,8517,18557,17212,15434,32646,7113,5899,13012
"Dadra & Nagar Haveli andDaman & Diu",274,371,645,98,90,188,171,237,408
Delhi,10638,20088,30726,0,0,0,10636,17634,28270
Goa,511,1614,2125,28,68,96,659,1626,2285
Gujarat,27914,17472,45386,6455,5127,11582,18896,12702,31598
Haryana,5776,9706,15482,20290,24555,44845,5579,7715,13294
Himachal Pradesh,4395,4579,8974,4038,3553,7591,8657,5960,14617
Jammu & Kashmir,13640,9672,23312,470,280,750,6654,3869,10523
Jharkhand,10650,7045,17695,3283,1809,5092,5039,3181,8220
Karnataka,51115,44318,95433,934,1172,2106,22943,17524,40467
Kerala,15392,45642,61034,479,1955,2434,11523,28438,39961
Ladakh,284,184,468,85,82,167,244,143,387
Lakshadweep,71,57,128,44,32,76,47,38,85
Madhya Pradesh,22591,17297,39888,22413,18011,40424,15117,10831,25948
Maharashtra,72965,51874,124839,4077,4489,8566,40016,28097,68113
Manipur,2146,1588,3734,727,588,1315,1694,1755,3449
Meghalaya,3840,4405,8245,236,321,557,972,1779,2751
Mizoram,2575,1585,4160,26,13,39,956,893,1849
Nagaland,1719,1675,3394,351,480,831,542,907,1449
Odisha,34068,18293,52361,1371,850,2221,12435,6965,19400
Puducherry,370,738,1108,328,485,813,631,828,1459
Punjab,11843,31672,43515,4126,8284,12410,10878,20869,31747
Rajasthan,30197,14310,44507,56197,22646,78843,27168,11058,38226
Sikkim,742,841,1583,227,292,519,614,828,1442
Tamil Nadu,19402,45454,64856,6011,10345,16356,24995,32198,57193
Telangana,16189,21221,37410,1976,2346,4322,15019,9632,24651
Tripura,3540,1988,5528,720,509,1229,2327,1880,4207
Uttar Pradesh,83396,44124,127520,41854,21039,62893,45923,20290,66213
Uttarakhand,8868,6342,15210,4632,3915,8547,8151,4750,12901
West Bengal,17407,11666,29073,35635,22490,58125,7581,5937,13518
