India/State/ UT,Gross Enrolment Ratio (GER) – Scheduled Castes (SC),,,,,,,,,,,,,,
"",Primary (1 to 5),Upper Primary (6 to 8),Elementary (1 to 8),Secondary (9-10),Higher Secondary (11-12),,,,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,99.0,104.2,101.5,94.6,98.7,96.5,97.4,102.1,99.6,80.7,84.6,82.5,55.4,62.6,58.8
Andaman and Nicobar Islands,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Andhra Pradesh,107.8,107.6,107.7,107.6,102.3,105.0,107.7,105.5,106.7,94.8,92.8,93.8,59.5,71.1,65.2
Arunachal Pradesh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Assam,112.2,118.6,115.3,88.4,93.3,90.8,102.5,108.0,105.2,70.8,80.4,75.6,32.7,35.4,34.1
Bihar,103.0,113.9,108.0,82.1,93.2,87.2,95.6,106.5,100.6,59.8,76.7,67.4,28.1,35.3,31.3
Chandigarh,32.2,32.6,32.4,45.3,46.4,45.8,37.3,37.8,37.6,58.8,61.3,60.1,68.3,77.3,72.3
Chhattisgarh,96.9,97.6,97.2,96.9,99.4,98.1,96.9,98.3,97.6,75.4,84.5,79.9,54.1,67.9,60.8
"Dadra and Nagar Haveli andDaman and Diu",124.0,113.8,119.1,127.2,114.3,121.0,125.3,114.0,119.9,144.7,174.3,157.8,97.7,121.9,108.5
Delhi,52.3,56.2,54.1,59.4,62.6,60.9,55.0,58.7,56.7,59.8,65.8,62.7,56.1,66.0,60.9
Goa,121.4,121.8,121.5,108.5,105.0,106.7,116.4,115.4,115.8,95.6,115.9,105.1,103.7,115.8,109.5
Gujarat,89.3,95.2,92.0,89.0,90.7,89.8,89.2,93.5,91.2,73.1,71.0,72.1,49.1,54.8,51.8
Haryana,89.7,92.5,91.0,98.4,102.6,100.4,92.9,96.2,94.5,92.7,97.6,95.0,65.3,79.4,71.8
Himachal Pradesh,100.4,101.6,101.0,97.7,101.4,99.5,99.3,101.5,100.4,96.0,98.7,97.3,87.2,92.6,89.8
Jammu and Kashmir,134.3,137.0,135.6,85.3,87.4,86.3,110.7,113.5,112.0,74.5,75.7,75.1,42.1,49.6,45.5
Jharkhand,95.1,97.0,96.0,84.9,88.8,86.8,91.3,93.9,92.6,53.8,62.2,57.8,31.8,37.5,34.5
Karnataka,104.3,105.8,105.0,105.1,104.1,104.6,104.6,105.2,104.9,97.1,100.2,98.6,58.5,68.5,63.3
Kerala,97.2,96.7,97.0,95.5,96.3,95.9,96.5,96.5,96.5,93.8,94.1,93.9,93.4,95.9,94.6
Ladakh,430.2,1243.7,691.0,307.6,200.8,261.2,382.6,713.9,505.0,657.9,704.9,680.6,249.9,292.4,270.9
Lakshadweep,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Madhya Pradesh,81.1,88.8,84.7,87.3,93.9,90.4,83.4,90.7,86.7,73.2,76.0,74.5,45.0,49.7,47.2
Maharashtra,100.2,104.1,102.1,98.8,98.8,98.8,99.7,102.0,100.8,93.6,94.5,94.0,71.2,74.4,72.7
Manipur,176.9,183.4,180.1,123.7,132.0,127.7,154.2,161.4,157.7,104.2,110.2,107.1,108.9,117.7,113.2
Meghalaya,870.0,921.7,894.2,535.6,449.4,493.4,725.8,708.1,717.3,501.4,573.4,535.0,284.9,476.5,375.2
Mizoram,3471.9,3955.1,3699.7,2827.6,3888.4,3266.6,3199.5,3930.6,3527.4,3358.3,1931.3,2441.1,789.8,846.2,815.4
Nagaland,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Odisha,102.8,103.3,103.1,96.7,98.0,97.3,100.4,101.2,100.8,83.4,84.3,83.9,48.5,53.9,51.2
Puducherry,100.2,98.7,99.4,97.4,100.7,99.0,99.1,99.5,99.3,99.8,97.1,98.5,84.2,99.8,91.7
Punjab,108.9,107.7,108.3,105.1,106.1,105.5,107.4,107.1,107.3,89.3,91.4,90.3,79.9,84.0,81.8
Rajasthan,105.7,111.5,108.4,100.9,102.6,101.7,104.0,108.2,106.0,81.5,82.5,81.9,66.2,68.0,67.0
Sikkim,174.8,178.8,176.7,148.5,151.4,149.9,163.1,166.7,164.8,142.7,184.9,162.1,95.1,109.7,102.3
Tamil Nadu,98.6,101.0,99.7,103.7,102.6,103.2,100.5,101.6,101.1,98.3,98.7,98.5,72.8,87.0,79.8
Telangana,118.6,120.6,119.6,107.9,106.9,107.4,114.4,115.1,114.8,91.1,93.5,92.2,75.7,82.2,78.9
Tripura,131.6,139.3,135.3,97.6,102.4,99.9,116.7,122.9,119.6,83.1,89.1,86.0,58.5,64.8,61.5
Uttar Pradesh,92.2,99.8,95.7,87.3,95.3,91.0,90.5,98.2,94.1,67.9,68.5,68.1,45.6,46.4,46.0
Uttarakhand,107.4,113.2,110.1,97.8,103.2,100.3,103.6,109.3,106.3,97.8,102.9,100.2,73.6,88.1,80.4
West Bengal,118.5,118.6,118.5,112.9,111.7,112.3,116.3,115.8,116.1,111.8,111.8,111.8,70.1,86.6,78.3
