India/State/ UT,Age-Specific Enrolment Rate (ASER),,,,,,,,,,,,,,
"",Age 6-10 years,Age 11-13 years,Age 6-13 years,Age 14-15 years,Age 16-17 years,,,,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,86.6,92.0,89.1,89.0,90.9,89.9,87.5,91.5,89.4,75.5,77.3,76.3,46.1,47.6,46.8
Andaman and Nicobar Islands,99.6,99.3,99.5,93.9,98.2,96.0,97.3,98.9,98.1,85.7,94.0,89.6,53.1,55.3,54.1
Andhra Pradesh,89.3,93.0,91.1,100.0,99.2,100.0,94.1,95.4,94.7,92.8,89.9,91.4,60.9,61.7,61.3
Arunachal Pradesh,96.5,100.0,99.6,82.5,87.1,84.8,90.6,96.0,93.3,68.3,71.2,69.7,40.0,40.9,40.5
Assam,82.0,89.4,85.5,89.3,95.5,92.3,84.8,91.8,88.2,78.6,88.0,83.2,56.0,64.5,60.2
Bihar,80.7,89.2,84.7,75.6,83.0,79.1,78.8,86.8,82.5,53.8,62.2,57.7,22.4,26.3,24.2
Chandigarh,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,75.7,85.9,80.0
Chhattisgarh,88.8,90.8,89.7,90.4,91.7,91.1,89.3,91.1,90.2,66.7,74.2,70.4,40.2,47.0,43.6
"Dadra and Nagar Haveli andDaman and Diu",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,87.5,100.0,94.7,38.4,57.7,45.9
Delhi,96.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,85.8,91.0,88.2
Goa,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,92.5,100.0,96.6
Gujarat,87.3,93.1,90.0,96.3,97.3,96.8,90.6,94.7,92.5,82.2,78.1,80.3,49.6,49.5,49.5
Haryana,81.6,84.3,82.9,100.0,100.0,100.0,89.6,90.7,90.1,95.4,93.2,94.4,74.0,71.7,72.9
Himachal Pradesh,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,92.3,96.5,94.3,38.6,35.7,37.2
Jammu and Kashmir,100.0,100.0,100.0,67.7,70.6,69.0,88.1,90.3,89.1,55.7,56.7,56.2,24.9,24.4,24.7
Jharkhand,69.3,72.4,70.8,82.0,81.6,81.9,74.2,76.1,75.1,78.8,79.8,79.3,47.8,50.1,48.9
Karnataka,95.0,97.6,96.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,69.1,75.7,72.3
Kerala,85.1,85.9,85.5,99.7,99.9,99.8,90.7,91.3,91.0,97.7,98.4,98.1,87.6,91.4,89.5
Ladakh,94.2,92.7,93.5,84.3,96.4,90.1,90.3,94.1,92.2,71.9,86.2,78.7,48.3,51.7,50.0
Lakshadweep,99.4,97.8,98.6,80.8,73.9,77.1,92.2,88.0,90.0,70.4,80.4,75.2,58.3,51.8,55.0
Madhya Pradesh,72.8,78.8,75.6,81.3,85.1,83.0,75.8,81.1,78.2,62.8,64.1,63.4,35.1,34.2,34.7
Maharashtra,100.0,100.0,100.0,96.4,95.5,96.0,99.9,100.0,100.0,80.5,80.3,80.4,43.1,40.5,41.9
Manipur,100.0,100.0,100.0,88.6,90.6,89.6,100.0,100.0,100.0,70.8,73.2,72.0,45.4,44.4,44.9
Meghalaya,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,81.3,99.9,90.5,46.5,58.9,52.6
Mizoram,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,89.0,95.2,92.0,56.1,61.4,58.7
Nagaland,80.2,85.2,82.6,65.2,71.7,68.3,73.8,79.4,76.4,53.9,62.8,58.1,35.3,39.5,37.3
Odisha,98.6,98.4,98.5,91.0,90.6,90.8,95.7,95.4,95.6,71.4,73.5,72.4,29.2,30.1,29.6
Puducherry,99.3,98.1,98.6,100.0,100.0,100.0,100.0,100.0,100.0,96.3,100.0,99.1,76.8,91.4,83.7
Punjab,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,88.3,91.2,89.6,54.3,49.5,52.2
Rajasthan,86.9,91.1,88.8,96.7,93.5,95.2,90.5,92.0,91.2,90.9,85.3,88.2,63.0,58.0,60.6
Sikkim,94.3,95.0,94.6,74.6,75.7,75.1,85.4,86.3,85.8,72.5,77.2,74.8,47.0,50.6,48.8
Tamil Nadu,92.8,96.0,94.3,100.0,100.0,100.0,95.8,98.1,96.9,92.2,95.7,93.9,64.5,71.1,67.7
Telangana,92.0,98.1,94.8,100.0,100.0,100.0,98.2,100.0,100.0,96.2,97.3,96.8,73.9,72.9,73.4
Tripura,100.0,100.0,100.0,88.1,92.6,90.3,100.0,100.0,100.0,75.2,80.9,78.0,47.0,52.7,49.7
Uttar Pradesh,76.3,83.0,79.4,74.1,75.8,74.8,75.5,80.4,77.8,64.6,63.2,64.0,34.3,31.6,33.0
Uttarakhand,94.9,100.0,98.3,100.0,100.0,100.0,99.2,100.0,100.0,96.7,98.8,97.6,74.1,77.2,75.4
West Bengal,100.0,100.0,100.0,92.8,96.1,94.4,100.0,100.0,100.0,66.6,73.1,69.8,44.9,55.4,50.0
