India/State/ UT,Children With Special Needs (CWSN) enrolment,,,,,,,,,,,
"",Pre-Primary,Primary (1 to 5),Upper Primary (6-8),Elementary (1-8),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,14208,9276,23484,615508,440987,1056495,368839,284218,653057,984347,725205,1709552
Andaman and Nicobar Islands,27,12,39,150,83,233,142,65,207,292,148,440
Andhra Pradesh,196,148,344,19851,13544,33395,18652,13019,31671,38503,26563,65066
Arunachal Pradesh,26,22,48,658,691,1349,429,633,1062,1087,1324,2411
Assam,1192,856,2048,22281,16540,38821,6736,6405,13141,29017,22945,51962
Bihar,324,203,527,57069,42332,99401,28046,22586,50632,85115,64918,150033
Chandigarh,48,32,80,775,465,1240,796,540,1336,1571,1005,2576
Chhattisgarh,151,128,279,21459,17727,39186,12900,12213,25113,34359,29940,64299
"Dadra and Nagar Haveli andDaman and Diu",8,11,19,301,190,491,189,148,337,490,338,828
Delhi,562,315,877,3940,3026,6966,3576,3547,7123,7516,6573,14089
Goa,146,75,221,1172,671,1843,777,456,1233,1949,1127,3076
Gujarat,14,8,22,18568,12681,31249,14437,10188,24625,33005,22869,55874
Haryana,122,51,173,6259,3980,10239,4147,2790,6937,10406,6770,17176
Himachal Pradesh,67,62,129,1325,1045,2370,1044,895,1939,2369,1940,4309
Jammu and Kashmir,1204,751,1955,5767,4057,9824,2848,2109,4957,8615,6166,14781
Jharkhand,257,192,449,11992,9208,21200,6171,4885,11056,18163,14093,32256
Karnataka,238,160,398,24320,17071,41391,19297,14092,33389,43617,31163,74780
Kerala,1291,725,2016,28907,19041,47948,22547,16550,39097,51454,35591,87045
Ladakh,40,26,66,149,100,249,92,83,175,241,183,424
Lakshadweep,2,2,4,38,27,65,39,26,65,77,53,130
Madhya Pradesh,303,204,507,35147,27419,62566,33301,28440,61741,68448,55859,124307
Maharashtra,1570,1102,2672,73203,46548,119751,39882,30605,70487,113085,77153,190238
Manipur,55,51,106,1404,1372,2776,464,431,895,1868,1803,3671
Meghalaya,256,190,446,1288,916,2204,469,381,850,1757,1297,3054
Mizoram,139,116,255,961,862,1823,484,586,1070,1445,1448,2893
Nagaland,224,170,394,582,490,1072,310,382,692,892,872,1764
Odisha,29,8,37,27235,18659,45894,18978,14504,33482,46213,33163,79376
Puducherry,33,48,81,310,216,526,222,179,401,532,395,927
Punjab,1770,1147,2917,14698,9693,24391,10832,7867,18699,25530,17560,43090
Rajasthan,529,198,727,18594,12944,31538,16508,11973,28481,35102,24917,60019
Sikkim,79,44,123,278,180,458,161,147,308,439,327,766
Tamil Nadu,413,252,665,29370,18600,47970,28747,18419,47166,58117,37019,95136
Telangana,55,45,100,10007,7026,17033,5642,4528,10170,15649,11554,27203
Tripura,27,7,34,866,713,1579,784,528,1312,1650,1241,2891
Uttar Pradesh,224,157,381,129742,95984,225726,50498,39740,90238,180240,135724,315964
Uttarakhand,68,37,105,1526,1049,2575,647,489,1136,2173,1538,3711
West Bengal,2519,1721,4240,45316,35837,81153,18045,13789,31834,63361,49626,112987
