India/State/ UT,Total Schools,Schools with hand wash facility,Percentage of Schools with hand wash facility,,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1466109,1016010,81486,323430,45183,1379302,957270,75483,307909,38640,94.1,94.2,92.6,95.2,85.5
Andaman & Nicobar Islands,414,342,2,70,0,414,342,2,70,0,100,100,100,100,0
Andhra Pradesh,61680,45167,1202,15127,184,61671,45160,1202,15125,184,100,100,100,100,100
Arunachal Pradesh,3543,2922,71,503,47,1703,1124,68,470,41,48.1,38.5,95.8,93.4,87.2
Assam,58876,44925,3386,5677,4888,53540,43864,2370,5041,2265,90.9,97.6,70,88.8,46.3
Bihar,91447,75550,724,8053,7120,73217,59293,561,7218,6145,80.1,78.5,77.5,89.6,86.3
Chandigarh,230,119,7,77,27,230,119,7,77,27,100,100,100,100,100
Chhattisgarh,56333,48728,415,6931,259,55339,47778,413,6891,257,98.2,98.1,99.5,99.4,99.2
"Dadra & Nagar Haveli andDaman & Diu",459,387,8,63,1,459,387,8,63,1,100,100,100,100,100
Delhi,5488,2673,245,2570,0,5487,2672,245,2570,0,100,100,100,100,0
Goa,1504,806,558,140,0,1504,806,558,140,0,100,100,100,100,0
Gujarat,53603,34651,5562,13387,3,52360,34261,5109,12987,3,97.7,98.9,91.9,97,100
Haryana,23561,14443,6,8315,797,23449,14363,6,8285,795,99.5,99.4,100,99.6,99.7
Himachal Pradesh,18062,15447,0,2613,2,17931,15319,0,2610,2,99.3,99.2,0,99.9,100
Jammu & Kashmir,24278,18785,1,5407,85,22639,17259,1,5298,81,93.2,91.9,100,98,95.3
Jharkhand,44596,35764,1149,1583,6100,41455,33170,1023,1511,5751,93,92.7,89,95.5,94.3
Karnataka,76090,49520,7029,19531,10,69271,44484,6591,18187,9,91,89.8,93.8,93.1,90
Kerala,15934,4811,7178,3095,850,15904,4803,7163,3090,848,99.8,99.8,99.8,99.8,99.8
Ladakh,979,841,27,111,0,654,527,27,100,0,66.8,62.7,100,90.1,0
Lakshadweep,37,37,0,0,0,36,36,0,0,0,97.3,97.3,0,0,0
Madhya Pradesh,122937,92741,615,28047,1534,114606,85279,591,27284,1452,93.2,92,96.1,97.3,94.7
Maharashtra,108451,65431,23964,18723,333,107071,64316,23801,18621,333,98.7,98.3,99.3,99.5,100
Manipur,4627,2922,583,996,126,3652,2202,450,905,95,78.9,75.4,77.2,90.9,75.4
Meghalaya,14588,7778,4173,2121,516,5784,3066,1735,763,220,39.6,39.4,41.6,36,42.6
Mizoram,3891,2567,230,1023,71,2905,2030,124,707,44,74.7,79.1,53.9,69.1,62
Nagaland,2717,1954,0,762,1,1727,1107,0,619,1,63.6,56.7,0,81.2,100
Odisha,61891,48767,5920,6062,1142,60976,48159,5721,5983,1113,98.5,98.8,96.6,98.7,97.5
Puducherry,729,422,33,274,0,729,422,33,274,0,100,100,100,100,0
Punjab,27592,19245,447,7886,14,27549,19213,446,7876,14,99.8,99.8,99.8,99.9,100
Rajasthan,106670,69538,0,34497,2635,102510,66785,0,33373,2352,96.1,96,0,96.7,89.3
Sikkim,1250,864,18,368,0,1218,842,17,359,0,97.4,97.5,94.4,97.6,0
Tamil Nadu,58150,37658,8279,11969,244,58150,37658,8279,11969,244,100,100,100,100,100
Telangana,42476,29997,670,11707,102,38568,26763,547,11173,85,90.8,89.2,81.6,95.4,83.3
Tripura,4912,4245,43,367,257,4281,3681,42,346,212,87.2,86.7,97.7,94.3,82.5
Uttar Pradesh,251094,137003,8249,92348,13494,238118,133033,7672,85410,12003,94.8,97.1,93,92.5,89
Uttarakhand,22618,16381,613,5140,484,21862,15767,597,5028,470,96.7,96.3,97.4,97.8,97.1
West Bengal,94402,82579,79,7887,3857,92333,81180,74,7486,3593,97.8,98.3,93.7,94.9,93.2
