India/State /UT,Number of teachers by Gender and Classes Taught – All Types of Management,,,,,,,,
"",Primary & Upper Primary,Upper Primary Only,Upper Primary & Secondary,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(14),(15),(16),(17),(18),(19),(20),(21),(22)
India,428952,556999,985951,868781,829897,1698678,392331,354439,746770
Andaman & Nicobar Islands,112,234,346,204,385,589,346,604,950
Andhra Pradesh,10702,14493,25195,8511,10343,18854,50290,41116,91406
Arunachal Pradesh,2309,1981,4290,2133,2098,4231,781,637,1418
Assam,11293,12553,23846,45444,23673,69117,23011,17591,40602
Bihar,50527,31491,82018,122181,82526,204707,6011,2710,8721
Chandigarh,150,605,755,172,732,904,534,1889,2423
Chhattisgarh,5429,12195,17624,35366,24609,59975,2630,3823,6453
"Dadra & Nagar Haveli andDaman & Diu",72,163,235,343,607,950,50,110,160
Delhi,0,0,0,10661,26377,37038,0,0,0
Goa,65,314,379,278,1034,1312,823,2497,3320
Gujarat,7160,16153,23313,47164,54037,101201,2289,3171,5460
Haryana,3360,12889,16249,15415,22236,37651,9265,13528,22793
Himachal Pradesh,1225,4874,6099,7113,6831,13944,9862,10199,20061
Jammu & Kashmir,4698,4922,9620,25286,20645,45931,2001,1389,3390
Jharkhand,22154,12618,34772,24181,13889,38070,5052,4131,9183
Karnataka,49895,78902,128797,12092,25987,38079,6617,10757,17374
Kerala,717,4891,5608,12509,49559,62068,788,3948,4736
Ladakh,972,758,1730,277,452,729,454,309,763
Lakshadweep,39,37,76,31,53,84,33,28,61
Madhya Pradesh,45985,57665,103650,50659,45168,95827,13970,14228,28198
Maharashtra,29214,35671,64885,61280,49205,110485,27327,21672,48999
Manipur,2366,2988,5354,2303,2336,4639,2090,1898,3988
Meghalaya,369,896,1265,7278,7746,15024,615,930,1545
Mizoram,458,594,1052,4420,3528,7948,51,28,79
Nagaland,1519,2289,3808,3044,3187,6231,1132,1188,2320
Odisha,39592,40441,80033,22262,16564,38826,11763,10322,22085
Puducherry,192,1029,1221,271,792,1063,719,1551,2270
Punjab,1452,10459,11911,8692,30422,39114,8537,19506,28043
Rajasthan,60470,49263,109733,74479,49403,123882,61930,29662,91592
Sikkim,168,289,457,1013,1523,2536,523,653,1176
Tamil Nadu,9853,50779,60632,28372,60291,88663,23821,46699,70520
Telangana,10618,26095,36713,8609,17716,26325,34297,32789,67086
Tripura,686,536,1222,4940,2225,7165,1299,739,2038
Uttar Pradesh,48365,54999,103364,171851,136012,307863,27861,18687,46548
Uttarakhand,2521,7026,9547,9537,10617,20154,5214,4795,10009
West Bengal,4245,5907,10152,40410,27089,67499,50345,30655,81000
