India/State /UT,Number of teachers by Gender and Classes Taught – Government,,,,,,,,,,,
"",Total,Pre-Primary Only,Pre-Primary & Primary,Primary Only,,,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,2717278,2178323,4895601,844,10023,10867,144989,108760,253749,1132363,976152,2108515
Andaman & Nicobar Islands,1669,2752,4421,88,303,391,19,54,73,474,882,1356
Andhra Pradesh,104349,87945,192294,1,4,5,219,218,437,42207,37818,80025
Arunachal Pradesh,9007,7407,16414,7,17,24,69,86,155,3552,2897,6449
Assam,137003,87289,224292,56,56,112,3855,3197,7052,63760,42672,106432
Bihar,248236,169523,417759,0,2,2,2,2,4,93488,77975,171463
Chandigarh,1424,3523,4947,2,122,124,3,16,19,474,920,1394
Chhattisgarh,110042,70511,180553,0,23,23,7,58,65,51065,31259,82324
"Dadra & Nagar Haveli andDaman & Diu",1194,1634,2828,7,110,117,0,0,0,462,662,1124
Delhi,32993,52633,85626,56,1928,1984,0,0,0,7854,15706,23560
Goa,666,2477,3143,0,7,7,2,10,12,190,1399,1589
Gujarat,100762,91634,192396,0,7,7,5,2,7,55020,53803,108823
Haryana,51802,39454,91256,0,16,16,2,4,6,21330,14354,35684
Himachal Pradesh,40350,27541,67891,11,33,44,844,702,1546,10937,8193,19130
Jammu & Kashmir,61109,36485,97594,32,58,90,2716,1775,4491,22419,14693,37112
Jharkhand,82823,34329,117152,13,8,21,316,162,478,43336,18132,61468
Karnataka,97939,98913,196852,1,4,5,6,5,11,25010,25085,50095
Kerala,18692,61399,80091,24,3643,3667,3,51,54,4720,21073,25793
Ladakh,2407,2086,4493,7,25,32,190,175,365,319,548,867
Lakshadweep,378,437,815,3,33,36,1,3,4,109,156,265
Madhya Pradesh,196534,106159,302693,11,14,25,85,94,179,109919,56852,166771
Maharashtra,143563,91559,235122,5,148,153,17,76,93,102051,69908,171959
Manipur,8243,8993,17236,12,26,38,264,498,762,4710,4862,9572
Meghalaya,10606,12216,22822,32,116,148,615,979,1594,5017,5754,10771
Mizoram,7402,6011,13413,1,3,4,15,19,34,2442,2387,4829
Nagaland,9322,9406,18728,17,91,108,394,537,931,4249,4374,8623
Odisha,118295,94702,212997,2,1,3,3,3,6,47259,39128,86387
Puducherry,1552,3209,4761,0,293,293,10,45,55,444,1228,1672
Punjab,44778,78852,123630,362,2295,2657,3792,7821,11613,12795,23381,36176
Rajasthan,261291,135022,396313,42,33,75,40,27,67,90011,56128,146139
Sikkim,4770,6787,11557,31,524,555,22,99,121,2006,2590,4596
Tamil Nadu,80398,149430,229828,3,14,17,0,1,1,21079,60183,81262
Telangana,75233,66618,141851,1,1,2,780,755,1535,26298,23497,49795
Tripura,19720,9573,29293,0,6,6,6,4,10,8707,3478,12185
Uttar Pradesh,323363,310556,633919,6,28,34,28,35,63,222672,228222,450894
Uttarakhand,34916,25037,59953,0,3,3,1,0,1,11844,11802,23646
West Bengal,274447,186221,460668,11,28,39,130658,91247,221905,14134,14151,28285
