India/State/ UT,Total Schools,"Number of schools having ramps with handrails forCWSN","Percentage of Schools having ramps with handrailsfor CWSN",,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1466109,1016010,81486,323430,45183,748152,593940,44389,104044,5779,51,58.5,54.5,32.2,12.8
Andaman & Nicobar Islands,414,342,2,70,0,148,130,1,17,0,35.7,38,50,24.3,0
Andhra Pradesh,61680,45167,1202,15127,184,39605,28879,728,9899,99,64.2,63.9,60.6,65.4,53.8
Arunachal Pradesh,3543,2922,71,503,47,686,615,9,55,7,19.4,21,12.7,10.9,14.9
Assam,58876,44925,3386,5677,4888,39308,38482,178,529,119,66.8,85.7,5.3,9.3,2.4
Bihar,91447,75550,724,8053,7120,17740,15566,84,1188,902,19.4,20.6,11.6,14.8,12.7
Chandigarh,230,119,7,77,27,127,71,4,48,4,55.2,59.7,57.1,62.3,14.8
Chhattisgarh,56333,48728,415,6931,259,32877,30697,164,1975,41,58.4,63,39.5,28.5,15.8
"Dadra & Nagar Haveli andDaman & Diu",459,387,8,63,1,442,378,6,57,1,96.3,97.7,75,90.5,100
Delhi,5488,2673,245,2570,0,5360,2657,219,2484,0,97.7,99.4,89.4,96.7,0
Goa,1504,806,558,140,0,840,705,111,24,0,55.9,87.5,19.9,17.1,0
Gujarat,53603,34651,5562,13387,3,32398,26379,2002,4015,2,60.4,76.1,36,30,66.7
Haryana,23561,14443,6,8315,797,10329,6977,5,3191,156,43.8,48.3,83.3,38.4,19.6
Himachal Pradesh,18062,15447,0,2613,2,11908,11481,0,427,0,65.9,74.3,0,16.3,0
Jammu & Kashmir,24278,18785,1,5407,85,3003,2619,0,383,1,12.4,13.9,0,7.1,1.2
Jharkhand,44596,35764,1149,1583,6100,17545,16397,140,350,658,39.3,45.8,12.2,22.1,10.8
Karnataka,76090,49520,7029,19531,10,46932,36991,2916,7023,2,61.7,74.7,41.5,36,20
Kerala,15934,4811,7178,3095,850,10442,3970,5180,1034,258,65.5,82.5,72.2,33.4,30.4
Ladakh,979,841,27,111,0,235,221,2,12,0,24,26.3,7.4,10.8,0
Lakshadweep,37,37,0,0,0,29,29,0,0,0,78.4,78.4,0,0,0
Madhya Pradesh,122937,92741,615,28047,1534,38951,29776,173,8812,190,31.7,32.1,28.1,31.4,12.4
Maharashtra,108451,65431,23964,18723,333,87034,55932,18237,12688,177,80.3,85.5,76.1,67.8,53.2
Manipur,4627,2922,583,996,126,987,841,68,73,5,21.3,28.8,11.7,7.3,4
Meghalaya,14588,7778,4173,2121,516,3174,2653,357,138,26,21.8,34.1,8.6,6.5,5
Mizoram,3891,2567,230,1023,71,773,706,16,48,3,19.9,27.5,7,4.7,4.2
Nagaland,2717,1954,0,762,1,458,412,0,46,0,16.9,21.1,0,6,0
Odisha,61891,48767,5920,6062,1142,42704,35855,2873,3397,579,69,73.5,48.5,56,50.7
Puducherry,729,422,33,274,0,328,277,3,48,0,45,65.6,9.1,17.5,0
Punjab,27592,19245,447,7886,14,15778,13360,89,2325,4,57.2,69.4,19.9,29.5,28.6
Rajasthan,106670,69538,0,34497,2635,33457,26159,0,7148,150,31.4,37.6,0,20.7,5.7
Sikkim,1250,864,18,368,0,286,273,4,9,0,22.9,31.6,22.2,2.4,0
Tamil Nadu,58150,37658,8279,11969,244,58150,37658,8279,11969,244,100,100,100,100,100
Telangana,42476,29997,670,11707,102,13165,7523,90,5520,32,31,25.1,13.4,47.2,31.4
Tripura,4912,4245,43,367,257,1789,1652,17,57,63,36.4,38.9,39.5,15.5,24.5
Uttar Pradesh,251094,137003,8249,92348,13494,120576,100074,2259,16837,1406,48,73,27.4,18.2,10.4
Uttarakhand,22618,16381,613,5140,484,10330,8736,166,1385,43,45.7,53.3,27.1,26.9,8.9
West Bengal,94402,82579,79,7887,3857,50258,48809,9,833,607,53.2,59.1,11.4,10.6,15.7
