India/State/ UT,Projected population by age group – Scheduled Tribes (ST),,,,,,,,
"",Age 3-5,Age 6-10,Age 11-13,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10)
India,4228839,3910878,8140517,5883097,5439811,11324374,3387085,3197034,6585607
Andaman and Nicobar Islands,834,834,1668,1053,948,2003,650,558,1208
Andhra Pradesh,84486,78574,163060,128007,117074,245081,71700,67302,139002
Arunachal Pradesh,31208,29519,60727,47004,44828,91832,34472,34528,69000
Assam,134794,122845,257639,192125,177023,369148,126793,123536,250329
Bihar,69988,61506,131531,97352,85188,182581,56946,52620,109682
Chandigarh,0,0,0,0,0,0,0,0,0
Chhattisgarh,338456,327619,666075,474459,453604,928062,254888,250242,505131
"Dadra and Nagar Haveli andDaman and Diu",8193,8141,16331,12608,11933,24526,8421,7607,16027
Delhi,0,0,0,0,0,0,0,0,0
Goa,3499,3472,6976,5416,5254,10676,3708,3323,7038
Gujarat,393288,358333,751600,509864,471135,980971,284801,270212,554998
Haryana,0,0,0,0,0,0,0,0,0
Himachal Pradesh,10798,10257,21056,15905,14637,30542,10476,9793,20269
Jammu and Kashmir,43492,42836,86328,66117,63628,129745,55189,47981,103170
Jharkhand,371579,350704,722283,510563,476523,987087,315089,310868,625957
Karnataka,142498,133782,276280,200159,188242,388402,120037,115277,235315
Kerala,14318,13498,27816,21165,19692,40857,12943,12571,25515
Ladakh,7111,7159,14262,9839,9495,19322,6660,5890,12543
Lakshadweep,1715,1656,3373,2614,2514,5130,1628,1759,3392
Madhya Pradesh,851589,756280,1608628,1136472,1020350,2158248,572505,530843,1104694
Maharashtra,377343,353508,730851,567932,521900,1089832,351793,321474,673268
Manipur,32617,29307,61924,55045,49244,104289,42917,38925,81843
Meghalaya,99499,94201,193700,127458,120956,248414,90367,87960,178327
Mizoram,30861,29160,60021,41989,39618,81607,30252,28751,59003
Nagaland,53108,48330,101438,80012,73021,153033,61005,56029,117033
Odisha,373418,367327,740745,534179,527532,1061712,292769,283344,576113
Puducherry,0,0,0,0,0,0,0,0,0
Punjab,0,0,0,0,0,0,0,0,0
Rajasthan,466637,424455,891092,634939,573946,1208884,335962,309155,645117
Sikkim,4517,4244,8761,7739,7388,15127,6423,6224,12646
Tamil Nadu,26966,24045,51011,39287,35499,74786,21836,20344,42179
Telangana,113986,100121,214107,169025,150828,319853,100288,90764,191052
Tripura,36745,34477,71222,48851,45584,94435,37733,35446,73179
Uttar Pradesh,60992,54408,115430,81654,72987,154684,39569,36571,76181
Uttarakhand,8494,7603,16098,12925,11301,24226,9121,8267,17388
West Bengal,35806,32677,68483,51337,47941,99279,30142,28868,59010
