"India/State/ UT",Total Schools,Schools with functional Desktop/PCs availability,"Percentage of Schools with functional Desktop/PCsavailability",,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1466109,1016010,81486,323430,45183,449371,204728,45853,186782,12008,30.7,20.2,56.3,57.8,26.6
Andaman & Nicobar Islands,414,342,2,70,0,263,199,2,62,0,63.5,58.2,100,88.6,0
Andhra Pradesh,61680,45167,1202,15127,184,23449,9280,456,13586,127,38,20.5,37.9,89.8,69
Arunachal Pradesh,3543,2922,71,503,47,875,422,61,368,24,24.7,14.4,85.9,73.2,51.1
Assam,58876,44925,3386,5677,4888,6074,3824,125,2072,53,10.3,8.5,3.7,36.5,1.1
Bihar,91447,75550,724,8053,7120,10360,3663,63,4250,2384,11.3,4.8,8.7,52.8,33.5
Chandigarh,230,119,7,77,27,226,119,7,76,24,98.3,100,100,98.7,88.9
Chhattisgarh,56333,48728,415,6931,259,9342,5408,141,3761,32,16.6,11.1,34,54.3,12.4
"Dadra & Nagar Haveli andDaman & Diu",459,387,8,63,1,403,331,8,63,1,87.8,85.5,100,100,100
Delhi,5488,2673,245,2570,0,5407,2620,228,2559,0,98.5,98,93.1,99.6,0
Goa,1504,806,558,140,0,724,119,492,113,0,48.1,14.8,88.2,80.7,0
Gujarat,53603,34651,5562,13387,3,36307,20856,4541,10909,1,67.7,60.2,81.6,81.5,33.3
Haryana,23561,14443,6,8315,797,11478,4287,5,6697,489,48.7,29.7,83.3,80.5,61.4
Himachal Pradesh,18062,15447,0,2613,2,6261,4125,0,2136,0,34.7,26.7,0,81.7,0
Jammu & Kashmir,24278,18785,1,5407,85,6077,3097,1,2944,35,25,16.5,100,54.4,41.2
Jharkhand,44596,35764,1149,1583,6100,6907,2423,272,1228,2984,15.5,6.8,23.7,77.6,48.9
Karnataka,76090,49520,7029,19531,10,25858,10044,3330,12480,4,34,20.3,47.4,63.9,40
Kerala,15934,4811,7178,3095,850,11456,3324,4578,2875,679,71.9,69.1,63.8,92.9,79.9
Ladakh,979,841,27,111,0,340,252,6,82,0,34.7,30,22.2,73.9,0
Lakshadweep,37,37,0,0,0,35,35,0,0,0,94.6,94.6,0,0,0
Madhya Pradesh,122937,92741,615,28047,1534,22237,5468,218,16198,353,18.1,5.9,35.4,57.8,23
Maharashtra,108451,65431,23964,18723,333,69096,32240,20114,16454,288,63.7,49.3,83.9,87.9,86.5
Manipur,4627,2922,583,996,126,956,192,29,688,47,20.7,6.6,5,69.1,37.3
Meghalaya,14588,7778,4173,2121,516,1951,583,751,504,113,13.4,7.5,18,23.8,21.9
Mizoram,3891,2567,230,1023,71,1276,646,121,471,38,32.8,25.2,52.6,46,53.5
Nagaland,2717,1954,0,762,1,1194,607,0,586,1,43.9,31.1,0,76.9,100
Odisha,61891,48767,5920,6062,1142,13741,6992,2406,3818,525,22.2,14.3,40.6,63,46
Puducherry,729,422,33,274,0,715,417,33,265,0,98.1,98.8,100,96.7,0
Punjab,27592,19245,447,7886,14,24899,18003,357,6533,6,90.2,93.5,79.9,82.8,42.9
Rajasthan,106670,69538,0,34497,2635,36729,17852,0,18402,475,34.4,25.7,0,53.3,18
Sikkim,1250,864,18,368,0,799,487,11,301,0,63.9,56.4,61.1,81.8,0
Tamil Nadu,58150,37658,8279,11969,244,32517,17996,4029,10326,166,55.9,47.8,48.7,86.3,68
Telangana,42476,29997,670,11707,102,13445,4925,214,8290,16,31.7,16.4,31.9,70.8,15.7
Tripura,4912,4245,43,367,257,1131,836,24,245,26,23,19.7,55.8,66.8,10.1
Uttar Pradesh,251094,137003,8249,92348,13494,39017,3455,2805,31146,1611,15.5,2.5,34,33.7,11.9
Uttarakhand,22618,16381,613,5140,484,11379,7539,374,3338,128,50.3,46,61,64.9,26.4
West Bengal,94402,82579,79,7887,3857,16447,12062,51,2956,1378,17.4,14.6,64.6,37.5,35.7
