India/State/ UT,Total Schools,Schools with functional Tablets availability,"Percentage of Schools with functional  Tabletsavailability",,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1466109,1016010,81486,323430,45183,179486,132969,8302,36510,1705,12.2,13.1,10.2,11.3,3.8
Andaman & Nicobar Islands,414,342,2,70,0,11,2,0,9,0,2.7,0.6,0,12.9,0
Andhra Pradesh,61680,45167,1202,15127,184,43915,37719,814,5300,82,71.2,83.5,67.7,35,44.6
Arunachal Pradesh,3543,2922,71,503,47,98,33,2,61,2,2.8,1.1,2.8,12.1,4.3
Assam,58876,44925,3386,5677,4888,1513,1281,7,221,4,2.6,2.9,0.2,3.9,0.1
Bihar,91447,75550,724,8053,7120,1669,242,8,980,439,1.8,0.3,1.1,12.2,6.2
Chandigarh,230,119,7,77,27,83,62,1,18,2,36.1,52.1,14.3,23.4,7.4
Chhattisgarh,56333,48728,415,6931,259,10241,9797,6,437,1,18.2,20.1,1.4,6.3,0.4
"Dadra & Nagar Haveli andDaman & Diu",459,387,8,63,1,28,17,0,11,0,6.1,4.4,0,17.5,0
Delhi,5488,2673,245,2570,0,1888,1253,14,621,0,34.4,46.9,5.7,24.2,0
Goa,1504,806,558,140,0,68,22,31,15,0,4.5,2.7,5.6,10.7,0
Gujarat,53603,34651,5562,13387,3,37811,31127,4261,2423,0,70.5,89.8,76.6,18.1,0
Haryana,23561,14443,6,8315,797,14716,13152,0,1446,118,62.5,91.1,0,17.4,14.8
Himachal Pradesh,18062,15447,0,2613,2,377,173,0,204,0,2.1,1.1,0,7.8,0
Jammu & Kashmir,24278,18785,1,5407,85,1848,1374,0,473,1,7.6,7.3,0,8.7,1.2
Jharkhand,44596,35764,1149,1583,6100,11523,10924,69,162,368,25.8,30.5,6,10.2,6
Karnataka,76090,49520,7029,19531,10,4553,1677,226,2650,0,6,3.4,3.2,13.6,0
Kerala,15934,4811,7178,3095,850,1066,235,266,463,102,6.7,4.9,3.7,15,12
Ladakh,979,841,27,111,0,197,190,0,7,0,20.1,22.6,0,6.3,0
Lakshadweep,37,37,0,0,0,5,5,0,0,0,13.5,13.5,0,0,0
Madhya Pradesh,122937,92741,615,28047,1534,11158,7578,14,3502,64,9.1,8.2,2.3,12.5,4.2
Maharashtra,108451,65431,23964,18723,333,9258,4474,1899,2839,46,8.5,6.8,7.9,15.2,13.8
Manipur,4627,2922,583,996,126,245,117,0,123,5,5.3,4,0,12.3,4
Meghalaya,14588,7778,4173,2121,516,289,79,138,58,14,2,1,3.3,2.7,2.7
Mizoram,3891,2567,230,1023,71,52,16,2,30,4,1.3,0.6,0.9,2.9,5.6
Nagaland,2717,1954,0,762,1,96,37,0,59,0,3.5,1.9,0,7.7,0
Odisha,61891,48767,5920,6062,1142,1850,1124,138,500,88,3,2.3,2.3,8.2,7.7
Puducherry,729,422,33,274,0,63,11,2,50,0,8.6,2.6,6.1,18.2,0
Punjab,27592,19245,447,7886,14,2592,1628,7,956,1,9.4,8.5,1.6,12.1,7.1
Rajasthan,106670,69538,0,34497,2635,4253,1345,0,2899,9,4,1.9,0,8.4,0.3
Sikkim,1250,864,18,368,0,136,101,1,34,0,10.9,11.7,5.6,9.2,0
Tamil Nadu,58150,37658,8279,11969,244,6202,4112,245,1810,35,10.7,10.9,3,15.1,14.3
Telangana,42476,29997,670,11707,102,2101,345,18,1737,1,4.9,1.2,2.7,14.8,1
Tripura,4912,4245,43,367,257,190,165,0,23,2,3.9,3.9,0,6.3,0.8
Uttar Pradesh,251094,137003,8249,92348,13494,6402,570,118,5501,213,2.5,0.4,1.4,6,1.6
Uttarakhand,22618,16381,613,5140,484,2018,1517,13,479,9,8.9,9.3,2.1,9.3,1.9
West Bengal,94402,82579,79,7887,3857,971,465,2,409,95,1,0.6,2.5,5.2,2.5
