India/State/ UT,New Admissions in Class 1 – Others,,,,,,,,,,,
"",Total,Boys,Girls,,,,,,,,,
"","admitted inclass 1",with pre-school experience in,"admitted inclass 1",with pre-school experience in,"admitted inclass 1",with pre-school experience in,,,,,,
"",,"sameschool","anotherschool","Anganwadi/ ECCECentre","sameschool","anotherschool","Anganwadi/ ECCECentre","sameschool","anotherschool","Anganwadi/ ECCECentre",,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,744246,369113,45298,69084,412843,206776,25456,37793,331403,162337,19842,31291
Andaman and Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,1953,455,1332,20,962,229,644,10,991,226,688,10
Arunachal Pradesh,778,621,120,18,429,348,62,10,349,273,58,8
Assam,32456,24132,944,4383,16966,12575,482,2300,15490,11557,462,2083
Bihar,195754,94956,10935,35412,115335,57257,6614,19499,80419,37699,4321,15913
Chandigarh,768,613,65,1,429,331,45,1,339,282,20,0
Chhattisgarh,1524,509,48,343,825,288,30,175,699,221,18,168
"Dadra and Nagar Haveli andDaman and Diu",54,54,0,0,54,54,0,0,0,0,0,0
Delhi,0,0,0,0,0,0,0,0,0,0,0,0
Goa,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,90,1,49,2,44,0,28,2,46,1,21,0
Haryana,10735,6723,719,941,6104,3767,421,524,4631,2956,298,417
Himachal Pradesh,9,1,0,1,5,0,0,0,4,1,0,1
Jammu and Kashmir,920,676,39,68,529,400,33,37,391,276,6,31
Jharkhand,89804,61414,10541,3589,52810,35959,6209,2195,36994,25455,4332,1394
Karnataka,107,80,11,16,57,37,11,9,50,43,0,7
Kerala,12041,10344,1064,293,6348,5454,563,147,5693,4890,501,146
Ladakh,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,9199,5723,254,1182,4708,2940,121,574,4491,2783,133,608
Maharashtra,7089,4130,745,614,3783,2307,372,335,3306,1823,373,279
Manipur,2124,1800,145,153,1134,955,78,88,990,845,67,65
Meghalaya,3931,3714,145,1,2034,1920,80,1,1897,1794,65,0
Mizoram,646,293,36,289,325,134,16,157,321,159,20,132
Nagaland,10,2,8,0,5,1,4,0,5,1,4,0
Odisha,12870,7175,1207,2917,7372,4130,677,1690,5498,3045,530,1227
Puducherry,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,164,123,3,1,117,81,2,1,47,42,1,0
Rajasthan,31708,4265,3515,1266,16610,2296,1800,659,15098,1969,1715,607
Sikkim,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,3315,1479,1836,0,1782,800,982,0,1533,679,854,0
Telangana,282,69,43,18,153,35,20,6,129,34,23,12
Tripura,2230,835,28,1182,1260,495,18,648,970,340,10,534
Uttar Pradesh,274632,105802,9958,13078,146338,56201,5288,6934,128294,49601,4670,6144
Uttarakhand,11252,3898,539,1741,6013,2064,305,948,5239,1834,234,793
West Bengal,37801,29226,969,1555,20312,15718,551,843,17489,13508,418,712
