India/State/ UT,Enrolment – Private Unaided Recognized,,,,,,,,,,,
"",Secondary (9-10),Higher Secondary (11-12),Primary to Higher Secondary (1-12),Total (Pre-Primary to Higher Secondary),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25)
India,7026527,5443041,12469568,5804194,4684396,10488590,43422757,33717611,77140368,47270406,36891979,84162385
Andaman and Nicobar Islands,1123,1131,2254,692,698,1390,9098,8351,17449,11005,10148,21153
Andhra Pradesh,286517,217753,504270,353752,334414,688166,2087228,1665239,3752467,2321818,1865822,4187640
Arunachal Pradesh,4047,3207,7254,1456,1445,2901,44236,35092,79328,51678,41688,93366
Assam,101452,88842,190294,61271,62237,123508,689364,582436,1271800,766529,645673,1412202
Bihar,233883,171520,405403,245051,191730,436781,1531789,1003571,2535360,1683461,1098590,2782051
Chandigarh,7360,5989,13349,6541,5196,11737,42433,35016,77449,49125,41328,90453
Chhattisgarh,91058,75551,166609,72015,63365,135380,704935,602776,1307711,859801,740452,1600253
"Dadra and Nagar Haveli andDaman and Diu",2792,1975,4767,1703,1267,2970,19627,14658,34285,22282,16686,38968
Delhi,119830,81103,200933,107592,73597,181189,896404,633604,1530008,991301,711422,1702723
Goa,1226,1173,2399,957,866,1823,16960,14814,31774,22109,19093,41202
Gujarat,318994,212063,531057,273897,192880,466777,2411400,1758593,4169993,2471122,1806333,4277455
Haryana,307400,209349,516749,227495,161445,388940,1768064,1232203,3000267,1863712,1309504,3173216
Himachal Pradesh,39505,31037,70542,24201,19196,43397,256477,205851,462328,302899,244386,547285
Jammu and Kashmir,73429,58567,131996,26357,20067,46424,523093,421111,944204,635506,516681,1152187
Jharkhand,155032,125337,280369,134075,110140,244215,604870,462031,1066901,643432,490720,1134152
Karnataka,397755,331404,729159,353113,344002,697115,2824635,2386384,5211019,3012521,2546697,5559218
Kerala,85873,83220,169093,56785,55602,112387,669678,620551,1290229,758214,702199,1460413
Ladakh,1568,1548,3116,365,419,784,12369,11080,23449,15666,13939,29605
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,403283,284873,688156,295615,209998,505613,2998913,2244028,5242941,3404870,2575993,5980863
Maharashtra,486488,366175,852663,365026,278854,643880,3208847,2500885,5709732,3298390,2578689,5877079
Manipur,30623,29433,60056,25497,24189,49686,186635,174037,360672,208496,193635,402131
Meghalaya,14356,18038,32394,10695,13336,24031,93638,100700,194338,117529,124485,242014
Mizoram,6129,6227,12356,4993,5256,10249,54019,53805,107824,65089,64807,129896
Nagaland,17346,17650,34996,12818,13909,26727,114282,107159,221441,134212,125180,259392
Odisha,70863,54478,125341,149130,142340,291470,736036,590155,1326191,755374,605317,1360691
Puducherry,11174,8704,19878,10047,8288,18335,66023,53106,119129,75558,61312,136870
Punjab,208151,162447,370598,162080,129308,291388,1348501,1057073,2405574,1578224,1245073,2823297
Rajasthan,630933,387705,1018638,536096,325198,861294,4387411,3011059,7398470,4899177,3410284,8309461
Sikkim,1470,1198,2668,485,519,1004,17219,14810,32029,23977,20770,44747
Tamil Nadu,374979,304778,679757,323419,274603,598022,2538531,2134729,4673260,3067972,2603857,5671829
Telangana,277811,230052,507863,321235,272125,593360,1959028,1643656,3602684,2134078,1792964,3927042
Tripura,7978,6579,14557,4862,4151,9013,59040,48841,107881,70285,58906,129191
Uttar Pradesh,2128155,1767271,3895426,1528265,1261658,2789923,9380259,7375895,16756154,9700081,7617157,17317238
Uttarakhand,89842,64746,154588,72895,53068,125963,624966,476245,1101211,679278,520828,1200106
West Bengal,38102,31918,70020,33718,29030,62748,536749,438067,974816,575635,471361,1046996
