India/State /UT,Number of teachers by Gender and Classes Taught – Others,,,,,,,,
"",Primary & Upper Primary,Upper Primary Only,Upper Primary & Secondary,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(14),(15),(16),(17),(18),(19),(20),(21),(22)
India,20806,17403,38209,40619,27477,68096,5958,2477,8435
Andaman & Nicobar Islands,0,0,0,0,0,0,0,0,0
Andhra Pradesh,84,153,237,32,42,74,6,7,13
Arunachal Pradesh,27,25,52,38,19,57,0,0,0
Assam,71,30,101,1540,653,2193,181,103,284
Bihar,7208,3904,11112,16785,9320,26105,231,97,328
Chandigarh,12,46,58,11,37,48,1,14,15
Chhattisgarh,11,11,22,71,190,261,0,0,0
"Dadra & Nagar Haveli andDaman & Diu",10,0,10,1,0,1,1,0,1
Delhi,0,0,0,0,0,0,0,0,0
Goa,0,0,0,0,0,0,0,0,0
Gujarat,1,3,4,3,5,8,0,2,2
Haryana,142,364,506,442,938,1380,7,17,24
Himachal Pradesh,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,57,35,92,65,60,125,14,2,16
Jharkhand,5320,4804,10124,8319,6047,14366,589,328,917
Karnataka,2,3,5,5,4,9,0,1,1
Kerala,46,378,424,111,1547,1658,11,82,93
Ladakh,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0
Madhya Pradesh,622,1095,1717,280,427,707,0,1,1
Maharashtra,53,187,240,68,214,282,16,33,49
Manipur,108,123,231,93,67,160,0,0,0
Meghalaya,42,140,182,57,163,220,28,93,121
Mizoram,29,44,73,26,28,54,0,0,0
Nagaland,0,0,0,0,0,0,0,0,0
Odisha,438,1223,1661,313,467,780,70,102,172
Puducherry,0,0,0,0,0,0,0,0,0
Punjab,3,2,5,14,8,22,0,1,1
Rajasthan,442,265,707,410,286,696,68,34,102
Sikkim,0,0,0,0,0,0,0,0,0
Tamil Nadu,14,135,149,33,191,224,4,12,16
Telangana,25,41,66,4,4,8,1,1,2
Tripura,9,5,14,32,4,36,12,0,12
Uttar Pradesh,4910,3713,8623,8582,5043,13625,1264,773,2037
Uttarakhand,68,60,128,246,233,479,8,5,13
West Bengal,1052,614,1666,3038,1480,4518,3446,769,4215
