India/State/ UT,Enrolment – Government,,,,,,,,,,,
"",Pre-Primary,Primary (1 to 5),Upper Primary (6-8),Elementary (1-8),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,1213955,1201525,2415480,34408740,34227379,68636119,17966224,18538925,36505149,52374964,52766304,105141268
Andaman and Nicobar Islands,2597,2638,5235,7856,7637,15493,6324,5987,12311,14180,13624,27804
Andhra Pradesh,2705,2732,5437,906346,949114,1855460,642890,673116,1316006,1549236,1622230,3171466
Arunachal Pradesh,2265,2391,4656,39607,42836,82443,24366,29937,54303,63973,72773,136746
Assam,115546,115001,230547,1315936,1330409,2646345,598518,683126,1281644,1914454,2013535,3927989
Bihar,75,65,140,5398899,5333599,10732498,2666437,2787203,5453640,8065336,8120802,16186138
Chandigarh,4270,4125,8395,29469,27162,56631,21919,19449,41368,51388,46611,97999
Chhattisgarh,2901,2675,5576,909455,904417,1813872,555083,565336,1120419,1464538,1469753,2934291
"Dadra and Nagar Haveli andDaman and Diu",1735,1762,3497,21054,20484,41538,13272,12585,25857,34326,33069,67395
Delhi,56382,64830,121212,470891,471245,942136,371440,373952,745392,842331,845197,1687528
Goa,830,782,1612,12232,11576,23808,4096,3792,7888,16328,15368,31696
Gujarat,378,323,701,1700967,1652252,3353219,963782,944026,1907808,2664749,2596278,5261027
Haryana,773,743,1516,535856,532591,1068447,320521,323836,644357,856377,856427,1712804
Himachal Pradesh,18553,19087,37640,154261,152022,306283,107702,106482,214184,261963,258504,520467
Jammu and Kashmir,78403,79205,157608,271402,275461,546863,151747,155210,306957,423149,430671,853820
Jharkhand,22045,21940,43985,1285224,1275403,2560627,672388,713234,1385622,1957612,1988637,3946249
Karnataka,12355,12043,24398,1267073,1307364,2574437,745357,777248,1522605,2012430,2084612,4097042
Kerala,74840,73838,148678,316316,300900,617216,206154,197654,403808,522470,498554,1021024
Ladakh,2241,2207,4448,4318,4921,9239,2335,2943,5278,6653,7864,14517
Lakshadweep,612,575,1187,2685,2518,5203,1457,1413,2870,4142,3931,8073
Madhya Pradesh,7671,7727,15398,2041336,2073975,4115311,1238247,1291319,2529566,3279583,3365294,6644877
Maharashtra,26397,25426,51823,1974456,1961364,3935820,587721,598514,1186235,2562177,2559878,5122055
Manipur,5978,5846,11824,58255,57075,115330,17908,19592,37500,76163,76667,152830
Meghalaya,41263,38342,79605,122293,116549,238842,48206,53769,101975,170499,170318,340817
Mizoram,7019,6713,13732,33055,30135,63190,16467,15596,32063,49522,45731,95253
Nagaland,17406,16842,34248,29785,31185,60970,15364,18390,33754,45149,49575,94724
Odisha,162,133,295,1385406,1355774,2741180,838999,827154,1666153,2224405,2182928,4407333
Puducherry,4381,4330,8711,15177,15135,30312,10878,11030,21908,26055,26165,52220
Punjab,180733,171191,351924,543515,510024,1053539,341803,325956,667759,885318,835980,1721298
Rajasthan,1281,1192,2473,2037316,2159604,4196920,1185623,1275170,2460793,3222939,3434774,6657713
Sikkim,3288,3111,6399,11047,10001,21048,9798,9699,19497,20845,19700,40545
Tamil Nadu,29918,30253,60171,957405,942657,1900062,704147,706611,1410758,1661552,1649268,3310820
Telangana,2325,2153,4478,613997,614531,1228528,445421,461719,907140,1059418,1076250,2135668
Tripura,3790,3448,7238,113171,114916,228087,67528,71340,138868,180699,186256,366955
Uttar Pradesh,742,580,1322,6340720,6248589,12589309,2321591,2444977,4766568,8662311,8693566,17355877
Uttarakhand,202,159,361,200296,200822,401118,109911,118457,228368,310207,319279,629486
West Bengal,481893,477117,959010,3281663,3183132,6464795,1930824,1913103,3843927,5212487,5096235,10308722
