India/State/ UT,Percentage of Professionally Qualified Teachers – All Types of Management,,,,,,,,
"",Pre-Primary,Primary (1 to 5),Upper Primary (6-8),,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10)
India,67.8,50.3,56.8,89.7,87.3,88.3,88.6,88.5,88.5
Andaman & Nicobar Islands,37.3,37.9,37.8,96.1,95.2,95.5,91.4,90.5,90.8
Andhra Pradesh,15.1,22.0,20.8,96.6,96.0,96.3,91.9,93.7,92.8
Arunachal Pradesh,39.0,30.2,32.1,84.4,79.2,81.7,86.2,87.6,86.8
Assam,38.7,33.8,36.0,72.7,70.9,71.9,61.7,67.1,63.9
Bihar,33.2,31.7,32.1,85.1,83.1,84.2,82.5,81.5,82.1
Chandigarh,53.8,43.2,43.5,95.1,92.8,93.2,90.0,87.4,87.9
Chhattisgarh,29.7,26.8,27.1,93.4,83.3,88.1,93.3,86.1,89.8
"Dadra & Nagar Haveli and Daman &Diu",37.5,52.0,51.6,96.1,91.3,92.7,91.6,92.7,92.3
Delhi,74.5,66.1,66.2,98.6,97.3,97.6,96.6,97.0,96.9
Goa,58.3,65.1,65.0,97.1,97.6,97.6,95.7,98.2,97.6
Gujarat,41.8,48.9,48.3,97.5,94.8,95.8,95.2,94.4,94.7
Haryana,44.6,33.7,34.0,95.7,88.9,91.0,91.9,90.2,90.8
Himachal Pradesh,54.8,46.5,48.6,97.4,95.1,96.0,93.8,94.3,94.0
Jammu & Kashmir,9.8,12.3,11.4,74.8,62.0,68.0,76.0,66.7,71.7
Jharkhand,45.8,33.5,36.6,87.5,81.9,85.2,86.9,84.3,85.9
Karnataka,41.5,63.4,62.6,97.1,95.4,96.0,96.1,95.8,95.9
Kerala,71.4,87.0,86.8,98.6,98.5,98.5,97.0,97.4,97.3
Ladakh,15.9,24.6,21.6,80.8,77.9,79.2,83.1,79.1,81.2
Lakshadweep,0.0,97.2,87.5,96.0,95.4,95.7,93.2,94.1,93.7
Madhya Pradesh,20.7,20.4,20.4,92.7,85.2,88.9,91.9,87.0,89.4
Maharashtra,44.4,52.1,51.5,97.7,94.9,96.2,95.4,93.9,94.7
Manipur,43.5,44.9,44.6,77.2,75.6,76.2,71.2,76.8,74.1
Meghalaya,32.3,28.3,29.4,62.1,58.8,60.0,70.2,71.5,70.9
Mizoram,47.8,50.0,49.5,88.5,84.3,86.1,91.4,87.6,89.7
Nagaland,40.8,44.4,43.5,63.7,65.1,64.5,64.3,67.9,66.2
Odisha,28.0,30.6,30.3,95.4,92.8,94.1,95.3,94.6,95.0
Puducherry,53.3,55.9,55.9,94.9,95.6,95.5,88.6,94.2,92.7
Punjab,27.4,32.8,31.8,93.2,88.4,89.3,90.5,88.4,88.9
Rajasthan,20.7,26.3,25.1,92.4,85.3,89.1,94.0,90.4,92.6
Sikkim,23.7,37.0,35.8,73.4,71.9,72.4,76.1,79.6,78.2
Tamil Nadu,25.2,53.6,52.9,92.6,92.4,92.4,84.0,89.3,87.8
Telangana,23.7,40.9,38.7,95.9,90.5,92.2,91.6,91.5,91.5
Tripura,27.0,29.1,28.3,61.2,65.7,62.8,86.0,87.3,86.5
Uttar Pradesh,26.2,33.6,32.6,85.7,82.9,84.3,85.5,83.5,84.6
Uttarakhand,27.3,31.4,31.0,91.1,85.8,87.5,92.9,90.4,91.5
West Bengal,78.1,69.8,74.5,89.8,80.1,85.2,93.1,93.0,93.0
