India/State /UT,Number of teachers in Others Schools,,,,,,,,,,
"",Total,Primary,Upper Primary,Secondary,Higher Secondary,,,,,,
"",,(1 to 5),(1-8),(6-8),(1-10),(6-10),(9-10),(1-12),(6-12),(9-12),(11-12)
(1),(2),(3),(4),(5),( 6),(7),( 8),( 9),(10),( 11),( 12)
India,274492,95535,122956,5303,23560,3451,3837,11095,6860,351,1544
Andaman & Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,610,97,444,6,60,3,0,0,0,0,0
Arunachal Pradesh,380,189,191,0,0,0,0,0,0,0,0
Assam,16060,9187,249,1876,361,585,2675,67,35,63,962
Bihar,55211,6685,44717,6,1486,36,82,1951,23,118,107
Chandigarh,333,65,200,0,52,0,0,16,0,0,0
Chhattisgarh,811,474,104,230,0,0,0,3,0,0,0
"Dadra & Nagar Haveli andDaman & Diu",20,0,0,0,0,0,0,20,0,0,0
Delhi,0,0,0,0,0,0,0,0,0,0,0
Goa,0,0,0,0,0,0,0,0,0,0,0
Gujarat,40,0,0,0,8,0,0,32,0,0,0
Haryana,5655,1693,3699,7,170,0,0,86,0,0,0
Himachal Pradesh,4,4,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,592,156,287,0,135,0,0,5,0,9,0
Jharkhand,49918,9293,34649,145,4962,397,88,286,2,10,86
Karnataka,26,5,3,0,16,2,0,0,0,0,0
Kerala,7104,2276,3642,29,1010,10,8,87,17,12,13
Ladakh,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,4876,1503,3319,32,12,0,0,10,0,0,0
Maharashtra,2271,967,965,1,238,24,57,15,0,0,4
Manipur,1083,404,676,3,0,0,0,0,0,0,0
Meghalaya,2427,932,327,99,259,70,473,68,16,0,183
Mizoram,433,37,227,4,0,0,125,0,0,0,40
Nagaland,7,7,0,0,0,0,0,0,0,0,0
Odisha,8399,3644,3423,98,675,207,151,92,0,0,109
Puducherry,0,0,0,0,0,0,0,0,0,0,0
Punjab,75,20,50,0,5,0,0,0,0,0,0
Rajasthan,7027,4802,1798,0,223,7,3,165,8,21,0
Sikkim,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,1825,1250,397,13,113,0,0,52,0,0,0
Telangana,240,105,120,0,15,0,0,0,0,0,0
Tripura,1067,930,70,0,17,0,0,50,0,0,0
Uttar Pradesh,70457,30898,18742,1016,12743,212,77,6495,173,92,9
Uttarakhand,2310,1224,500,382,40,12,98,0,4,19,31
West Bengal,35231,18688,4157,1356,960,1886,0,1595,6582,7,0
