India/State/ UT,Gross Enrolment Ratio (GER) – Scheduled Tribes (ST),,,,,,,,,,,,,,
"",Primary (1 to 5),Upper Primary (6 to 8),Elementary (1 to 8),Secondary (9-10),Higher Secondary (11-12),,,,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,103.5,105.3,104.3,98.2,99.3,98.7,101.5,103.1,102.3,77.1,80.6,78.8,51.0,55.9,53.4
Andaman and Nicobar Islands,141.6,147.9,144.5,141.3,155.8,148.1,141.5,150.8,145.8,118.6,133.9,125.9,116.2,128.7,122.1
Andhra Pradesh,113.9,118.2,116.0,111.2,110.3,110.8,113.0,115.3,114.1,87.0,88.5,87.7,58.7,66.0,62.2
Arunachal Pradesh,109.9,114.2,112.0,80.6,87.1,83.9,97.5,102.4,99.9,66.7,68.2,67.5,55.7,60.8,58.3
Assam,123.1,130.6,126.7,103.3,106.7,105.0,115.3,120.8,117.9,93.8,97.3,95.5,53.3,52.7,53.0
Bihar,133.6,138.7,135.9,101.1,109.3,104.9,121.6,127.5,124.3,82.8,95.6,88.8,45.5,52.3,48.7
Chandigarh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Chhattisgarh,89.0,89.5,89.3,88.5,88.6,88.5,88.8,89.2,89.0,63.9,71.3,67.5,47.4,61.9,54.6
"Dadra and Nagar Haveli andDaman and Diu",85.9,89.1,87.5,84.7,90.4,87.4,85.4,89.6,87.5,73.4,85.3,79.0,45.5,59.4,51.9
Delhi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Goa,93.9,94.7,94.2,86.2,95.2,90.4,90.7,94.9,92.7,88.1,97.9,92.7,102.0,113.1,107.3
Gujarat,97.7,97.7,97.7,98.1,95.6,96.9,97.9,96.9,97.4,74.9,73.3,74.1,46.6,55.0,50.6
Haryana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Himachal Pradesh,100.2,102.0,101.0,98.3,99.9,99.0,99.4,101.1,100.2,94.7,94.7,94.7,91.4,88.4,89.9
Jammu and Kashmir,136.5,128.4,132.6,76.1,79.2,77.5,109.0,107.3,108.2,59.8,55.4,57.8,41.2,32.9,37.5
Jharkhand,100.7,102.8,101.7,81.7,83.6,82.7,93.4,95.2,94.3,53.2,58.6,55.9,30.3,34.7,32.5
Karnataka,108.2,108.2,108.2,106.9,103.9,105.4,107.7,106.6,107.2,93.7,96.1,94.9,53.3,60.1,56.5
Kerala,88.5,90.8,89.6,96.8,90.6,93.7,91.7,90.7,91.2,104.9,99.1,102.0,97.3,106.8,101.9
Ladakh,108.7,106.4,107.6,82.2,96.4,88.9,98.0,102.5,100.3,78.9,85.8,82.4,63.3,77.0,69.9
Lakshadweep,100.1,97.5,98.8,87.3,78.0,82.3,95.2,89.5,92.2,52.4,56.8,54.6,91.6,86.2,88.7
Madhya Pradesh,78.9,82.7,80.7,89.1,89.7,89.3,82.4,85.1,83.6,56.6,58.9,57.7,35.3,40.5,37.8
Maharashtra,100.1,103.1,101.5,96.8,98.4,97.5,98.8,101.3,100.0,84.3,84.8,84.5,54.8,51.4,53.2
Manipur,120.5,128.2,124.2,63.1,67.9,65.4,95.3,101.6,98.3,50.8,56.0,53.3,40.1,42.8,41.5
Meghalaya,176.6,180.5,178.5,105.7,126.0,115.7,147.2,157.6,152.3,69.2,92.5,80.8,35.4,52.3,43.8
Mizoram,147.7,147.8,147.7,106.6,110.2,108.4,130.5,132.0,131.2,89.5,100.4,94.8,52.2,61.4,56.7
Nagaland,86.0,89.9,87.9,63.9,70.5,67.1,76.5,81.5,78.9,50.2,60.1,55.0,36.2,41.6,38.8
Odisha,95.0,92.9,93.9,103.1,102.9,103.0,97.8,96.4,97.1,82.5,87.2,84.8,46.0,51.6,48.8
Puducherry,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Punjab,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rajasthan,105.6,105.7,105.6,100.9,97.6,99.3,104.0,102.8,103.4,78.1,75.8,77.0,66.6,62.9,64.8
Sikkim,106.9,96.5,101.8,77.4,79.6,78.5,93.5,88.8,91.2,78.3,84.0,81.1,64.3,81.2,72.7
Tamil Nadu,109.2,110.6,109.9,112.8,110.7,111.8,110.5,110.7,110.6,100.3,106.0,103.0,70.0,84.6,76.9
Telangana,102.5,99.7,101.2,99.3,97.8,98.5,101.3,99.0,100.2,85.2,86.0,85.6,74.8,78.9,76.7
Tripura,121.7,124.9,123.2,86.4,89.2,87.7,106.3,109.3,107.7,66.1,73.3,69.6,51.4,63.0,56.9
Uttar Pradesh,130.9,133.4,132.0,137.3,140.1,138.6,133.0,135.6,134.2,180.1,180.8,180.4,143.1,131.3,137.5
Uttarakhand,91.4,97.1,94.0,81.4,83.2,82.3,87.2,91.2,89.1,80.0,78.0,79.0,66.1,69.5,67.8
West Bengal,474.2,490.3,482.0,477.0,493.6,485.1,475.2,491.6,483.2,473.1,533.0,501.6,267.6,374.2,318.4
